,id,text,score,predicted_label,true_label
1068,TG41,"mental disorders can affect anyone, regardless of race, gender, age, or social status",0.15658703446388245,0,0
1821,TG9265,"i am glad that you are in a wheelchair, it makes it easier for me to push you out of the way when im in a hurry",0.3288961350917816,0,1
1363,TG4897,people who are mentally disabled are just like you and me.,0.9879999756813049,1,0
1581,TG4831,there is nothing we can do to help people who have been diagnosed with schizophrenia    ,0.2722928822040558,0,1
1329,TG1697,people should not be discriminated against because of a physical or mental impairment,0.19144617021083832,0,0
1296,TG516,identify disablist language and attitudes where they occur and challenge them using the principles from the Disability  Community ,0.1596726030111313,0,0
1358,TG3597,this notion that disabled people cant do simple things because of their disability sometimes infuriates me. like someone will see me shake my head no and not take,0.9879999756813049,1,0
1855,TG743,the only way to keep the community safe is to lock up those who are a danger to themselves or others.,0.30347180366516113,0,1
1482,TG3047,"the only way to be a real man is to be able to stand on your own two feet, and not be a burden to anyone else",0.1760382354259491,0,1
1067,TG6644,"you are so brave to have a child with Down syndrome, you are such an inspiration   ",0.9879999756813049,1,0
1776,TG4884,it would be good if we had some special institution where we could bring people with mental disabilities that were afraid of- it would be good,0.15400497615337372,0,1
1478,TG6633,why do you have a handicap tag if you are not handicapped?,0.20868849754333496,0,1
1224,TG1661,"disability is not something to be feared, it is just another part of life.",0.13671183586120605,0,0
1608,TG9248,"These guys took offence earlier because I said ""midget"" instead of ""little person"". I was forced to restart my story. I said, ""OK, so I was fucking this dead little person...",0.9879999756813049,1,1
1261,TG666,psychiatric medications can have dangerous effects on a persons physical and emotional wellbeing,0.21245074272155762,0,0
1510,TG301,there is no point in trying to rehabilitate those who have been convicted of a crime because they will never be able to live a normal life,0.18378253281116486,0,1
1473,TG2863," citizens with mental disabilities should be controlled with a restrictive policy, and they are dangerous to the rest of the society",0.9879999756813049,1,1
1195,TG2479,"2001 IOM report ""prejudice can play a part in any stigma, even mental illness"" p 1 rejection of people with disabilities are",0.18536190688610077,0,0
1061,TG7697, Mental health promotion is related to the prevention of negative mental health outcomes,0.195997416973114,0,0
1426,TG1086,Increase your awareness of circumstances (unfavorable social condition)\n- Reduce your discrimination against disabled people\n- Improve your understanding of disabled people\n-,0.23303332924842834,0,0
1309,TG1453,people living with disabilities can and do make valuable and significant contributions to our communities,0.17423835396766663,0,0
1221,TG1991,"mental health is an issue that affects everyone, not just the person with the disability.",0.10825613141059875,0,0
1028,TG2263,people who are deaf and hard of hearing should be able to communicate in sign language and should not be discriminated against because they are deaf and hard of hearing,0.9879999756813049,1,0
1535,TG3989,people with disabilities are a burden on the government     ,0.37607690691947937,0,1
1199,TG5947,we should not identify people based on their disability,0.22190025448799133,0,0
1241,TG6816,people who have a disability should be able to live in their own homes and not be forced to move to a group home or a nursing home,0.09953930974006653,0,0
1589,TG570,wheelchair users are not 'really' disabled,0.17640486359596252,0,1
1031,TG8269,"disability is not just a health issue, it is also a social justice issue.",0.1275046169757843,0,0
1020,TG2005,There will be some accommodations made to students students with disabilities. Some of the accommodations include large-print test booklets and large-print answer booklets,0.07666297256946564,0,0
1596,TG3324,if you are black jesus isnt coming for you,0.4041183590888977,0,1
1033,TG6619,"the law uses terms like 'physical impairment' and 'mental impairment' to define disability, rather than terms like 'disability', or 'sick",0.07305458933115005,0,0
1057,TG6028,"mental illnesses are real illnesses, just like cancer, heart disease, diabetes and other illnesses   ",0.9879999756813049,1,0
1719,TG9265,"i am glad that you are in a wheelchair, it makes it easier for me to push you out of the way when im in a hurry",0.3288961350917816,0,1
1053,TG6644,"you are so brave to have a child with Down syndrome, you are such an inspiration   ",0.9879999756813049,1,0
1891,TG2195,mentally disabled people do not deserve to live because they may be intrinsically evil,0.9879999756813049,1,1
1212,TG2760,disability is just another aspect of life      ,0.22937636077404022,0,0
1120,TG3475,Saying that mentally disabled people are not capable of parenting is an insult.\n- The idea that mentally disabled people cannot balance their own lives is mistaken.,0.9879999756813049,1,0
1626,TG9379,having a disability means you can get everything for free,0.3232826292514801,0,1
1141,TG3761,"disability is your identity, it is not your limitation.",0.16085660457611084,0,0
