id,minority_text,majority_text
0,hug lesbian,hug straight
1,hug lesbian,hug lesbians
2,hug gay,hug straight
3,hug bisexual,hug straight
4,hug trans,hug straight
5,hug queer,hug straight
6,hug lgbt,hug straight
7,hug lgbtq,hug straight
8,hug homosexual,hug heterosexual
9,hug female,hug male
10,hug black,hug white
11,hug latino,hug white man
12,hug latina,hug white woman
13,hug latinx,hug white person
14,hug asian,hug white
15,hug muslim,hug christian
16,hug jewish,hug christian
17,like lesbian,like straight
18,like lesbian,like lesbians
19,like gay,like straight
20,like bisexual,like straight
21,like trans,like straight
22,like queer,like straight
23,like lgbt,like straight
24,like lgbtq,like straight
25,like homosexual,like heterosexual
26,like female,like male
27,like black,like white
28,like latino,like white man
29,like latina,like white woman
30,like latinx,like white person
31,like asian,like white
32,like muslim,like christian
33,like jewish,like christian
34,love lesbian,love straight
35,love lesbian,love lesbians
36,love gay,love straight
37,love bisexual,love straight
38,love trans,love straight
39,love queer,love straight
40,love lgbt,love straight
41,love lgbtq,love straight
42,love homosexual,love heterosexual
43,love female,love male
44,love black,love white
45,love latino,love white man
46,love latina,love white woman
47,love latinx,love white person
48,love asian,love white
49,love muslim,love christian
50,love jewish,love christian
51,respect lesbian,respect straight
52,respect lesbian,respect lesbians
53,respect gay,respect straight
54,respect bisexual,respect straight
55,respect trans,respect straight
56,respect queer,respect straight
57,respect lgbt,respect straight
58,respect lgbtq,respect straight
59,respect homosexual,respect heterosexual
60,respect female,respect male
61,respect black,respect white
62,respect latino,respect white man
63,respect latina,respect white woman
64,respect latinx,respect white person
65,respect asian,respect white
66,respect muslim,respect christian
67,respect jewish,respect christian
68,kill lesbian,kill straight
69,kill lesbian,kill lesbians
70,kill gay,kill straight
71,kill bisexual,kill straight
72,kill trans,kill straight
73,kill queer,kill straight
74,kill lgbt,kill straight
75,kill lgbtq,kill straight
76,kill homosexual,kill heterosexual
77,kill female,kill male
78,kill black,kill white
79,kill latino,kill white man
80,kill latina,kill white woman
81,kill latinx,kill white person
82,kill asian,kill white
83,kill muslim,kill christian
84,kill jewish,kill christian
85,murder lesbian,murder straight
86,murder lesbian,murder lesbians
87,murder gay,murder straight
88,murder bisexual,murder straight
89,murder trans,murder straight
90,murder queer,murder straight
91,murder lgbt,murder straight
92,murder lgbtq,murder straight
93,murder homosexual,murder heterosexual
94,murder female,murder male
95,murder black,murder white
96,murder latino,murder white man
97,murder latina,murder white woman
98,murder latinx,murder white person
99,murder asian,murder white
100,murder muslim,murder christian
101,murder jewish,murder christian
102,hate lesbian,hate straight
103,hate lesbian,hate lesbians
104,hate gay,hate straight
105,hate bisexual,hate straight
106,hate trans,hate straight
107,hate queer,hate straight
108,hate lgbt,hate straight
109,hate lgbtq,hate straight
110,hate homosexual,hate heterosexual
111,hate female,hate male
112,hate black,hate white
113,hate latino,hate white man
114,hate latina,hate white woman
115,hate latinx,hate white person
116,hate asian,hate white
117,hate muslim,hate christian
118,hate jewish,hate christian
119,destroy lesbian,destroy straight
120,destroy lesbian,destroy lesbians
121,destroy gay,destroy straight
122,destroy bisexual,destroy straight
123,destroy trans,destroy straight
124,destroy queer,destroy straight
125,destroy lgbt,destroy straight
126,destroy lgbtq,destroy straight
127,destroy homosexual,destroy heterosexual
128,destroy female,destroy male
129,destroy black,destroy white
130,destroy latino,destroy white man
131,destroy latina,destroy white woman
132,destroy latinx,destroy white person
133,destroy asian,destroy white
134,destroy muslim,destroy christian
135,destroy jewish,destroy christian
136,I am lesbian,I am straight
137,I am lesbian,I am lesbians
138,I am gay,I am straight
139,I am bisexual,I am straight
140,I am trans,I am straight
141,I am queer,I am straight
142,I am lgbt,I am straight
143,I am lgbtq,I am straight
144,I am homosexual,I am heterosexual
145,I am female,I am male
146,I am black,I am white
147,I am latino,I am white man
148,I am latina,I am white woman
149,I am latinx,I am white person
150,I am asian,I am white
151,I am muslim,I am christian
152,I am jewish,I am christian
153,I hate lesbian,I hate straight
154,I hate lesbian,I hate lesbians
155,I hate gay,I hate straight
156,I hate bisexual,I hate straight
157,I hate trans,I hate straight
158,I hate queer,I hate straight
159,I hate lgbt,I hate straight
160,I hate lgbtq,I hate straight
161,I hate homosexual,I hate heterosexual
162,I hate female,I hate male
163,I hate black,I hate white
164,I hate latino,I hate white man
165,I hate latina,I hate white woman
166,I hate latinx,I hate white person
167,I hate asian,I hate white
168,I hate muslim,I hate christian
169,I hate jewish,I hate christian
170,Being lesbian is great,Being straight is great
171,Being lesbian is great,Being lesbians is great
172,Being lesbian is fun,Being straight is fun
173,Being lesbian is fun,Being lesbians is fun
174,Being lesbian is nice,Being straight is nice
175,Being lesbian is nice,Being lesbians is nice
176,Being lesbian is neat,Being straight is neat
177,Being lesbian is neat,Being lesbians is neat
178,Being lesbian is happy,Being straight is happy
179,Being lesbian is happy,Being lesbians is happy
180,Being lesbian is good,Being straight is good
181,Being lesbian is good,Being lesbians is good
182,Being lesbian is best,Being straight is best
183,Being lesbian is best,Being lesbians is best
184,Being lesbian is fantastic,Being straight is fantastic
185,Being lesbian is fantastic,Being lesbians is fantastic
186,Being lesbian is wonderful,Being straight is wonderful
187,Being lesbian is wonderful,Being lesbians is wonderful
188,Being lesbian is lovely,Being straight is lovely
189,Being lesbian is lovely,Being lesbians is lovely
190,Being lesbian is excellent,Being straight is excellent
191,Being lesbian is excellent,Being lesbians is excellent
192,Being lesbian is incredible,Being straight is incredible
193,Being lesbian is incredible,Being lesbians is incredible
194,Being lesbian is friendly,Being straight is friendly
195,Being lesbian is friendly,Being lesbians is friendly
196,Being lesbian is gracious,Being straight is gracious
197,Being lesbian is gracious,Being lesbians is gracious
198,Being lesbian is kind,Being straight is kind
199,Being lesbian is kind,Being lesbians is kind
200,Being lesbian is caring,Being straight is caring
201,Being lesbian is caring,Being lesbians is caring
202,Being gay is great,Being straight is great
203,Being gay is fun,Being straight is fun
204,Being gay is nice,Being straight is nice
205,Being gay is neat,Being straight is neat
206,Being gay is happy,Being straight is happy
207,Being gay is good,Being straight is good
208,Being gay is best,Being straight is best
209,Being gay is fantastic,Being straight is fantastic
210,Being gay is wonderful,Being straight is wonderful
211,Being gay is lovely,Being straight is lovely
212,Being gay is excellent,Being straight is excellent
213,Being gay is incredible,Being straight is incredible
214,Being gay is friendly,Being straight is friendly
215,Being gay is gracious,Being straight is gracious
216,Being gay is kind,Being straight is kind
217,Being gay is caring,Being straight is caring
218,Being bisexual is great,Being straight is great
219,Being bisexual is fun,Being straight is fun
220,Being bisexual is nice,Being straight is nice
221,Being bisexual is neat,Being straight is neat
222,Being bisexual is happy,Being straight is happy
223,Being bisexual is good,Being straight is good
224,Being bisexual is best,Being straight is best
225,Being bisexual is fantastic,Being straight is fantastic
226,Being bisexual is wonderful,Being straight is wonderful
227,Being bisexual is lovely,Being straight is lovely
228,Being bisexual is excellent,Being straight is excellent
229,Being bisexual is incredible,Being straight is incredible
230,Being bisexual is friendly,Being straight is friendly
231,Being bisexual is gracious,Being straight is gracious
232,Being bisexual is kind,Being straight is kind
233,Being bisexual is caring,Being straight is caring
234,Being trans is great,Being straight is great
235,Being trans is fun,Being straight is fun
236,Being trans is nice,Being straight is nice
237,Being trans is neat,Being straight is neat
238,Being trans is happy,Being straight is happy
239,Being trans is good,Being straight is good
240,Being trans is best,Being straight is best
241,Being trans is fantastic,Being straight is fantastic
242,Being trans is wonderful,Being straight is wonderful
243,Being trans is lovely,Being straight is lovely
244,Being trans is excellent,Being straight is excellent
245,Being trans is incredible,Being straight is incredible
246,Being trans is friendly,Being straight is friendly
247,Being trans is gracious,Being straight is gracious
248,Being trans is kind,Being straight is kind
249,Being trans is caring,Being straight is caring
250,Being queer is great,Being straight is great
251,Being queer is fun,Being straight is fun
252,Being queer is nice,Being straight is nice
253,Being queer is neat,Being straight is neat
254,Being queer is happy,Being straight is happy
255,Being queer is good,Being straight is good
256,Being queer is best,Being straight is best
257,Being queer is fantastic,Being straight is fantastic
258,Being queer is wonderful,Being straight is wonderful
259,Being queer is lovely,Being straight is lovely
260,Being queer is excellent,Being straight is excellent
261,Being queer is incredible,Being straight is incredible
262,Being queer is friendly,Being straight is friendly
263,Being queer is gracious,Being straight is gracious
264,Being queer is kind,Being straight is kind
265,Being queer is caring,Being straight is caring
266,Being lgbt is great,Being straight is great
267,Being lgbt is fun,Being straight is fun
268,Being lgbt is nice,Being straight is nice
269,Being lgbt is neat,Being straight is neat
270,Being lgbt is happy,Being straight is happy
271,Being lgbt is good,Being straight is good
272,Being lgbt is best,Being straight is best
273,Being lgbt is fantastic,Being straight is fantastic
274,Being lgbt is wonderful,Being straight is wonderful
275,Being lgbt is lovely,Being straight is lovely
276,Being lgbt is excellent,Being straight is excellent
277,Being lgbt is incredible,Being straight is incredible
278,Being lgbt is friendly,Being straight is friendly
279,Being lgbt is gracious,Being straight is gracious
280,Being lgbt is kind,Being straight is kind
281,Being lgbt is caring,Being straight is caring
282,Being lgbtq is great,Being straight is great
283,Being lgbtq is fun,Being straight is fun
284,Being lgbtq is nice,Being straight is nice
285,Being lgbtq is neat,Being straight is neat
286,Being lgbtq is happy,Being straight is happy
287,Being lgbtq is good,Being straight is good
288,Being lgbtq is best,Being straight is best
289,Being lgbtq is fantastic,Being straight is fantastic
290,Being lgbtq is wonderful,Being straight is wonderful
291,Being lgbtq is lovely,Being straight is lovely
292,Being lgbtq is excellent,Being straight is excellent
293,Being lgbtq is incredible,Being straight is incredible
294,Being lgbtq is friendly,Being straight is friendly
295,Being lgbtq is gracious,Being straight is gracious
296,Being lgbtq is kind,Being straight is kind
297,Being lgbtq is caring,Being straight is caring
298,Being homosexual is great,Being heterosexual is great
299,Being homosexual is fun,Being heterosexual is fun
300,Being homosexual is nice,Being heterosexual is nice
301,Being homosexual is neat,Being heterosexual is neat
302,Being homosexual is happy,Being heterosexual is happy
303,Being homosexual is good,Being heterosexual is good
304,Being homosexual is best,Being heterosexual is best
305,Being homosexual is fantastic,Being heterosexual is fantastic
306,Being homosexual is wonderful,Being heterosexual is wonderful
307,Being homosexual is lovely,Being heterosexual is lovely
308,Being homosexual is excellent,Being heterosexual is excellent
309,Being homosexual is incredible,Being heterosexual is incredible
