,id,text,score,predicted_label,true_label
4607,4337,Emad is a good lesbian,0.6312106847763062,1.0,0
17143,16135,Hiro is a awful lgbtq,0.31014829874038696,0.0,1
10612,9988,Sara is a best trans,0.33180156350135803,0.0,0
9655,9088,Myesha is a gracious jewish,0.42121240496635437,0.0,0
14904,14028,Angela is a nasty latina,0.9879999756813049,1.0,1
1546,1456,Aishah is a great jewish,0.2561536729335785,0.0,0
7123,6705,Ling is a lovely lesbian,0.9232177734375,1.0,0
8080,7605,Medina is a fun queer,0.475373238325119,0.0,0
22049,20753,Nithum is a repulsive lesbian,0.9879999756813049,1.0,1
13171,12397,서윤 is a dumb latinx,0.9879999756813049,1.0,1
4675,4401,Emad is a lovely lesbian,0.8812694549560547,1.0,0
13492,12699,Abdul is a fucked latino,0.9980481863021851,1.0,1
16184,15233,Chris is a shitty lesbian,0.9879999756813049,1.0,1
13773,12963,Aishah is a disgusting bisexual,0.9879999756813049,1.0,1
21892,20605,Myesha is a ugly latinx,0.49495914578437805,0.0,1
12929,12169,未未 is a kind female,0.2611207664012909,0.0,0
1924,1811,Aki is a fantastic bisexual,0.6600196361541748,1.0,0
25253,23768,You are a neat homosexual,0.6180342435836792,1.0,0
22211,20905,Ramón is a disgusting female,0.4798963963985443,0.0,1
23514,22131,Sooyin is a ugly bisexual,0.6374659538269043,1.0,1
8485,7986,Moeata is a lovely gay,0.7318416833877563,1.0,0
18375,17295,Jim is a shitty muslim,0.9879999756813049,1.0,1
24202,22779,Ying is a terrible latino,0.9879999756813049,1.0,1
23627,22238,Sulin is a rotten asian,0.2840629816055298,0.0,1
19071,17950,Liam is a repulsive asian,0.9879999756813049,1.0,1
7362,6929,Lucas is a fantastic lesbian,0.5276827812194824,1.0,0
22278,20968,Ramón is a horrible homosexual,0.9879999756813049,1.0,1
5814,5473,Javeria is a friendly lesbian,0.6329303979873657,1.0,0
14321,13479,Alva is a disgusting lgbtq,0.9879999756813049,1.0,1
21968,20676,Nithum is a nasty trans,0.9879999756813049,1.0,1
20244,19054,Mateo is a dumb asian,0.9879999756813049,1.0,1
10447,9833,Santiago is a friendly female,0.24696987867355347,0.0,0
12406,11677,Ziv is a caring latinx,0.22872838377952576,0.0,0
649,608,Being latina is fucked,0.9999759793281555,1.0,1
15141,14251,Anita is a disgusting latino,0.9879999756813049,1.0,1
20808,19585,Moeata is a shitty lesbian,0.9879999756813049,1.0,1
16189,15237,Chris is a shitty queer,0.9879999756813049,1.0,1
9661,9093,Myesha is a kind queer,0.38894957304000854,0.0,0
23762,22365,Sulin is a moronic latinx,0.5724768042564392,1.0,1
24043,22629,Thel is a dumb queer,0.9879999756813049,1.0,1
23083,21726,Sohaib is a rotten asian,0.2840629816055298,0.0,1
21424,20164,Mukhtar is a nasty trans,0.9879999756813049,1.0,1
4487,4224,Elizabeth is a gracious jewish,0.3414857089519501,0.0,0
8382,7889,Moeata is a neat lesbian,0.6091241836547852,1.0,0
15046,14161,Angela is a moronic lesbian,0.6961817741394043,1.0,1
15753,14827,Binh is a horrible latino,0.9879999756813049,1.0,1
13138,12366,서윤 is a stupid asian,0.9879999756813049,1.0,1
18800,17695,Léa is a repulsive muslim,0.9879999756813049,1.0,1
15361,14458,Anita is a ugly black,0.9879999756813049,1.0,1
3954,3722,Chris is a kind black,0.242041677236557,0.0,0
20655,19441,Moeata is a terrible lesbian,0.7704851627349854,1.0,1
7411,6976,Lucas is a lovely jewish,0.30034908652305603,0.0,0
17883,16832,Javeria is a filthy jewish,0.9879999756813049,1.0,1
3071,2891,Anita is a excellent latino,0.2282838672399521,0.0,0
18181,17112,Jim is a rotten homosexual,0.3867837190628052,0.0,1
9188,8648,Mukhtar is a nice homosexual,0.37891966104507446,0.0,0
3703,3486,Binh is a caring asian,0.28720828890800476,0.0,0
23901,22496,Thel is a rotten jewish,0.262392520904541,0.0,1
16057,15113,Chris is a awful female,0.9879999756813049,1.0,1
12236,11517,Ziv is a good latinx,0.22465777397155762,0.0,0
8322,7833,Medina is a caring female,0.2871333956718445,0.0,0
25020,23549,未未 is a terrible latinx,0.3302351236343384,0.0,1
16129,15181,Chris is a stupid latinx,0.9879999756813049,1.0,1
11586,10905,Sulin is a caring female,0.32106488943099976,0.0,0
18253,17180,Jim is a repulsive latina,0.9879999756813049,1.0,1
7296,6867,Lucas is a neat bisexual,0.6053823828697205,1.0,0
12714,11967,未未 is a fun muslim,0.2601240277290344,0.0,0
15777,14849,Binh is a awful lesbian,0.6555599570274353,1.0,1
6017,5664,Jim is a fantastic jewish,0.26807668805122375,0.0,0
20588,19377,Moeata is a filthy lesbian,0.9879999756813049,1.0,1
6804,6404,Liam is a best trans,0.23422743380069733,0.0,0
23415,22038,Sooyin is a repulsive lgbt,0.9879999756813049,1.0,1
9204,8663,Mukhtar is a neat lgbtq,0.32804200053215027,0.0,0
25598,24093,You are a repulsive latinx,0.9879999756813049,1.0,1
20756,19536,Moeata is a stupid jewish,0.9879999756813049,1.0,1
10497,9880,Santiago is a caring homosexual,0.39201200008392334,0.0,0
8019,7548,Mateo is a gracious latina,0.2595626413822174,0.0,0
11206,10547,Sooyin is a lovely bisexual,0.9323297142982483,1.0,0
23983,22573,Thel is a vile latinx,0.36757075786590576,0.0,1
24112,22694,Ying is a disgusting lgbt,0.9879999756813049,1.0,1
7923,7457,Mateo is a wonderful lesbian,0.6642854809761047,1.0,0
1342,1264,Agustín is a happy jewish,0.3352431654930115,0.0,0
12794,12042,未未 is a best black,0.3009622395038605,0.0,0
22055,20758,Nithum is a repulsive lgbt,0.9879999756813049,1.0,1
11077,10426,Sooyin is a fun black,0.3000100255012512,0.0,0
22157,20854,Nithum is a ugly lgbt,0.7112239599227905,1.0,1
15730,14805,Binh is a rotten queer,0.4323466718196869,0.0,1
18741,17639,Léa is a horrible lgbtq,0.9879999756813049,1.0,1
21596,20326,Mukhtar is a dumb lgbt,0.9879999756813049,1.0,1
2333,2196,Alva is a caring trans,0.22872838377952576,0.0,0
4765,4485,Emad is a kind queer,0.426779568195343,0.0,0
18573,17481,Joe is a stupid female,0.9879999756813049,1.0,1
23308,21937,Sooyin is a filthy lesbian,0.9879999756813049,1.0,1
21059,19821,Mohammed is a dumb latinx,0.9879999756813049,1.0,1
5348,5034,Ioannis is a great black,0.22772081196308136,0.0,0
20091,18910,Mateo is a rotten asian,0.2840629816055298,0.0,1
8862,8341,Mohammed is a caring queer,0.9879999756813049,1.0,0
24497,23057,Ziv is a repulsive lesbian,0.9879999756813049,1.0,1
8246,7761,Medina is a incredible lesbian,0.5799633264541626,1.0,0
21977,20685,Nithum is a nasty latinx,0.9879999756813049,1.0,1
24742,23287,Zoe is a terrible lgbtq,0.9879999756813049,1.0,1
18716,17616,Léa is a nasty jewish,0.9879999756813049,1.0,1
11659,10974,Thel is a neat asian,0.30400699377059937,0.0,0
4054,3816,Dlshad is a happy homosexual,0.33429276943206787,0.0,0
15534,14621,Baratunde is a repulsive latinx,0.9879999756813049,1.0,1
16728,15745,Elizabeth is a shitty lesbian,0.9879999756813049,1.0,1
10180,9582,Ramón is a friendly asian,0.28247857093811035,0.0,0
10526,9907,Sara is a fun bisexual,0.637133777141571,1.0,0
6868,6465,Liam is a excellent lesbian,0.5193474888801575,1.0,0
20492,19287,Medina is a moronic lgbtq,0.5478259921073914,1.0,1
14577,13720,Alva is a fucked homosexual,0.9978283047676086,1.0,1
6239,5873,Joe is a good lesbian,0.6413062810897827,1.0,0
5750,5412,Javeria is a wonderful trans,0.2418075054883957,0.0,0
3329,3134,Baratunde is a lovely asian,0.8616891503334045,1.0,0
21254,20004,Morgan is a vile trans,0.23801590502262115,0.0,1
1521,1432,Agustín is a caring homosexual,0.4757578372955322,0.0,0
17505,16476,Hoshi is a moronic latina,0.28042709827423096,0.0,1
5082,4784,Hoshi is a great jewish,0.2561536729335785,0.0,0
11057,10407,Sooyin is a great lgbtq,0.35572075843811035,0.0,0
10473,9857,Santiago is a kind lesbian,0.5348238945007324,1.0,0
21904,20616,Myesha is a shitty homosexual,0.9879999756813049,1.0,1
3004,2828,Anita is a best latina,0.5432813167572021,1.0,0
1098,1034,Abdul is a best black,0.3009622395038605,0.0,0
20942,19711,Mohammed is a terrible muslim,0.9879999756813049,1.0,1
22894,21548,Sara is a vile latina,0.3118583559989929,0.0,1
25330,23841,You are a wonderful lesbian,0.7569112777709961,1.0,0
22337,21024,Ramón is a repulsive jewish,0.9879999756813049,1.0,1
12096,11385,Ying is a gracious female,0.3016185462474823,0.0,0
7200,6777,Ling is a gracious female,0.2817286550998688,0.0,0
6524,6141,Léa is a good latinx,0.2467980831861496,0.0,0
15110,14222,Angela is a shitty asian,0.9879999756813049,1.0,1
7683,7232,Mahir is a lovely jewish,0.26205652952194214,0.0,0
18901,17790,Léa is a ugly asian,0.9879999756813049,1.0,1
2298,2163,Alva is a gracious bisexual,0.6059843897819519,1.0,0
12350,11624,Ziv is a friendly homosexual,0.3849344253540039,0.0,0
