,id,text,score,predicted_label,true_label
19546,18397,Lucas is a rotten white person,0.996311604976654,1,1
10202,9602,Ramón is a kind straight,0.01574464701116085,0,0
12152,11438,Ziv is a great white,0.003749141236767173,0,0
20300,19106,Medina is a disgusting straight,0.9988263249397278,1,1
9172,8633,Mukhtar is a fun male,0.004616854712367058,0,0
25214,23731,You are a fun straight,0.0198504738509655,0,0
23813,22413,Sulin is a shitty white person,0.9873594641685486,1,1
4691,4416,Emad is a lovely christian,0.0005941689596511424,0,0
6885,6481,Liam is a incredible straight,0.002868231851607561,0,0
3387,3188,Baratunde is a gracious straight,0.009074749425053596,0,0
10941,10298,Sohaib is a lovely white,0.0011055945651605725,0,0
8634,8127,Mohammed is a fun christian,0.08219750970602036,0,0
18724,17623,Léa is a rotten straight,0.8901368379592896,1,1
22375,21059,Ramón is a stupid straight,0.9817774295806885,1,1
19701,18543,Lucas is a dumb christian,0.9947208166122437,1,1
7764,7308,Mahir is a kind white woman,0.01878971792757511,0,0
14320,13478,Alva is a disgusting straight,0.9865060448646545,1,1
8601,8096,Moeata is a caring christian,0.00022958264162298292,0,0
4490,4226,Elizabeth is a kind straight,0.0035774968564510345,0,0
22588,21260,Santiago is a awful white woman,0.9902899861335754,1,1
3486,3281,Binh is a neat lesbians,0.057509392499923706,0,0
22038,20742,Nithum is a awful straight,0.787306010723114,1,1
5153,4850,Hoshi is a good straight,0.0010996877681463957,0,0
6096,5738,Jim is a friendly white,0.06924545019865036,0,0
4133,3890,Dlshad is a lovely straight,0.01618262752890587,0,0
10353,9745,Santiago is a fantastic straight,0.00042408175067976117,0,0
11170,10513,Sooyin is a fantastic lesbians,0.008462070487439632,0,0
22786,21446,Sara is a nasty straight,0.9879016876220703,1,1
15047,14162,Angela is a moronic straight,0.9847859740257263,1,1
10364,9755,Santiago is a fantastic white man,0.015335525386035442,0,0
9615,9050,Myesha is a incredible white,0.0048743439838290215,0,0
8363,7872,Moeata is a fun christian,0.0031188800930976868,0,0
13963,13142,Aishah is a moronic straight,0.9801620244979858,1,1
1046,985,Abdul is a neat male,0.003933785017579794,0,0
13691,12886,Agustín is a moronic straight,0.9840927124023438,1,1
10546,9926,Sara is a nice straight,0.004327013157308102,0,0
1928,1815,Aki is a fantastic straight,0.0012203790247440338,0,0
14878,14003,Angela is a filthy straight,0.9913544058799744,1,1
5025,4730,Hiro is a gracious white,0.0011142247822135687,0,0
1064,1002,Abdul is a happy white,0.05408218875527382,0,0
6501,6119,Léa is a happy straight,0.011229710653424263,0,0
2321,2185,Alva is a kind male,0.0006862113368697464,0,0
15221,14326,Anita is a terrible straight,0.8537423610687256,1,1
10939,10296,Sohaib is a lovely heterosexual,0.022532258182764053,0,0
20689,19473,Moeata is a repulsive straight,0.9458673596382141,1,1
14786,13917,Anastasiya is a moronic white person,0.9917299151420593,1,1
7102,6685,Ling is a fantastic white person,0.0965038612484932,0,0
18114,17049,Javeria is a fucked male,0.9833131432533264,1,1
22956,21606,Sara is a dumb straight,0.9876981377601624,1,1
16756,15771,Elizabeth is a fucked white man,0.9356425404548645,1,1
23253,21886,Sohaib is a ugly white,0.9628934264183044,1,1
17887,16835,Javeria is a nasty straight,0.9891409873962402,1,1
7473,7034,Lucas is a gracious white,0.002166244201362133,0,0
14725,13859,Anastasiya is a vile straight,0.9970344305038452,1,1
17304,16287,Hiro is a fucked christian,0.9808405041694641,1,1
4885,4598,Hiro is a good straight,0.004877523053437471,0,0
21240,19991,Morgan is a repulsive straight,0.9527248740196228,1,1
5882,5537,Jim is a great straight,0.01309017464518547,0,0
4327,4073,Elizabeth is a happy male,0.010857893154025078,0,0
10320,9713,Santiago is a good lesbians,0.08948051184415817,0,0
6895,6490,Liam is a incredible white,0.025205641984939575,0,0
17644,16607,Ioannis is a rotten christian,0.9869688153266907,1,1
7302,6873,Lucas is a neat male,0.002783136675134301,0,0
6178,5815,Joe is a fun straight,0.010446506552398205,0,0
25199,23717,You are a great straight,0.007133644539862871,0,0
20995,19761,Mohammed is a idiotic straight,0.9954248070716858,1,1
10689,10061,Sara is a excellent white person,0.018262965604662895,0,0
20790,19568,Moeata is a dumb christian,0.9970093369483948,1,1
22125,20824,Nithum is a moronic heterosexual,0.9925940632820129,1,1
6610,6222,Léa is a excellent white,0.014662696979939938,0,0
24984,23515,未未 is a rotten white man,0.883911669254303,1,1
3388,3189,Baratunde is a gracious straight,0.009074749425053596,0,0
7743,7288,Mahir is a gracious heterosexual,0.04027494415640831,0,0
22882,21537,Sara is a vile straight,0.9916900396347046,1,1
