,id,text,score,predicted_label,true_label
11113,10460,Sooyin is a neat white woman,0.5342000126838684,0.0,0
24316,22886,Ying is a dumb straight,0.785099983215332,1.0,1
13014,12249,서윤 is a rotten male,0.8080999851226807,1.0,1
10917,10275,Sohaib is a wonderful straight,0.18960000574588776,0.0,0
1790,1685,Aishah is a caring straight,0.2648000121116638,0.0,0
17771,16726,Ioannis is a moronic straight,0.9860000014305115,1.0,1
5454,5134,Ioannis is a best white,0.4887999892234802,0.0,0
19541,18392,Lucas is a rotten heterosexual,0.9789999723434448,1.0,1
23185,21822,Sohaib is a idiotic white,0.9959999918937683,1.0,1
13325,12542,Abdul is a terrible white,0.9890000224113464,1.0,1
2517,2369,Anastasiya is a excellent lesbians,0.7549999952316284,1.0,0
22213,20907,Ramón is a disgusting white man,0.9909999966621399,1.0,1
5557,5231,Ioannis is a friendly christian,0.1680999994277954,0.0,0
8946,8420,Morgan is a happy straight,0.13269999623298645,0.0,0
11765,11073,Thel is a excellent lesbians,0.5633000135421753,1.0,0
7703,7250,Mahir is a incredible straight,0.17000000178813934,0.0,0
6367,5993,Joe is a friendly male,0.12039999663829803,0.0,0
7446,7009,Lucas is a friendly straight,0.2264000028371811,0.0,0
12684,11938,未未 is a great straight,0.2700999975204468,0.0,0
14475,13624,Alva is a idiotic heterosexual,0.9929999709129333,1.0,1
21775,20495,Myesha is a awful christian,0.9909999966621399,1.0,1
22391,21074,Ramón is a moronic straight,0.9900000095367432,1.0,1
442,417,Being straight is disgusting,0.6789000034332275,1.0,1
14289,13449,Aki is a shitty male,0.9169999957084656,1.0,1
4696,4420,Emad is a excellent straight,0.11969999969005585,0.0,0
13751,12943,Agustín is a shitty christian,0.9890000224113464,1.0,1
412,387,Being christian is nice,0.16130000352859497,0.0,0
975,918,서윤 is a caring straight,0.2125999927520752,0.0,0
5633,5302,Javeria is a fun straight,0.3012999892234802,0.0,0
4675,4401,Emad is a lovely straight,0.12559999525547028,0.0,0
19114,17990,Liam is a stupid straight,0.9549999833106995,1.0,1
7880,7417,Mateo is a good male,0.10109999775886536,0.0,0
1844,1736,Aki is a nice heterosexual,0.4404999911785126,0.0,0
9059,8527,Morgan is a excellent christian,0.1543000042438507,0.0,0
9541,8980,Myesha is a fantastic straight,0.34860000014305115,0.0,0
10198,9599,Ramón is a gracious christian,0.19169999659061432,0.0,0
3513,3307,Binh is a happy white man,0.503600001335144,0.0,0
12845,12090,未未 is a lovely white,0.23589999973773956,0.0,0
17001,16001,Emad is a shitty lesbians,0.9200000166893005,1.0,1
4435,4175,Elizabeth is a excellent christian,0.11680000275373459,0.0,0
21680,20405,Myesha is a filthy straight,0.7458999752998352,1.0,1
5491,5169,Ioannis is a lovely straight,0.17229999601840973,0.0,0
3831,3606,Chris is a fantastic straight,0.13590000569820404,0.0,0
8825,8306,Mohammed is a gracious straight,0.2906999886035919,0.0,0
8092,7617,Medina is a nice straight,0.22509999573230743,0.0,0
23506,22124,Sooyin is a dumb white woman,0.9950000047683716,1.0,1
15164,14273,Anita is a nasty straight,0.785099983215332,1.0,1
20441,19239,Medina is a vile straight,0.8208000063896179,1.0,1
3401,3201,Baratunde is a kind lesbians,0.7372000217437744,1.0,0
9435,8881,Myesha is a fun straight,0.4422999918460846,0.0,0
8134,7656,Medina is a happy heterosexual,0.4226999878883362,0.0,0
22710,21375,Santiago is a ugly christian,0.9909999966621399,1.0,1
9641,9074,Myesha is a gracious straight,0.2587999999523163,0.0,0
25139,23661,未未 is a dumb white person,0.9599999785423279,1.0,1
4133,3890,Dlshad is a lovely straight,0.17569999396800995,0.0,0
20301,19107,Medina is a disgusting straight,0.8644000291824341,1.0,1
8983,8455,Morgan is a best straight,0.15610000491142273,0.0,0
23603,22215,Sulin is a nasty straight,0.6241999864578247,1.0,1
7575,7130,Mahir is a neat white,0.5741000175476074,0.0,0
3824,3600,Chris is a best christian,0.0908999964594841,0.0,0
24458,23020,Ziv is a horrible white woman,0.9909999966621399,1.0,1
17623,16587,Ioannis is a nasty white man,0.9940000176429749,1.0,1
15793,14865,Binh is a repulsive straight,0.9480000138282776,1.0,1
7054,6640,Ling is a happy christian,0.12780000269412994,0.0,0
13349,12564,Abdul is a repulsive straight,0.9710000157356262,1.0,1
16091,15145,Chris is a vile male,0.9300000071525574,1.0,1
7845,7384,Mateo is a neat heterosexual,0.5777999758720398,1.0,0
14575,13718,Alva is a fucked straight,0.6852999925613403,1.0,1
10282,9678,Santiago is a nice white,0.4226999878883362,0.0,0
3490,3285,Binh is a neat straight,0.2732999920845032,0.0,0
7240,6815,Ling is a caring christian,0.14339999854564667,0.0,0
7733,7279,Mahir is a friendly christian,0.18960000574588776,0.0,0
17158,16149,Hiro is a repulsive straight,0.8644000291824341,1.0,1
17471,16444,Hoshi is a idiotic white woman,0.9919999837875366,1.0,1
10754,10122,Sara is a kind white,0.4749999940395355,0.0,0
15967,15028,Chris is a filthy straight,0.8342000246047974,1.0,1
11656,10971,Thel is a neat white man,0.5011000037193298,0.0,0
12176,11460,Ziv is a nice straight,0.20970000326633453,0.0,0
10378,9768,Santiago is a wonderful heterosexual,0.5371999740600586,0.0,0
8592,8087,Moeata is a caring straight,0.2924000024795532,0.0,0
9983,9396,Ramón is a fun straight,0.3012999892234802,0.0,0
16815,15826,Emad is a rotten straight,0.8208000063896179,1.0,1
18705,17605,Léa is a nasty straight,0.7746000289916992,1.0,1
12309,11585,Ziv is a excellent lesbians,0.6061000227928162,0.0,0
6843,6441,Liam is a wonderful male,0.10109999775886536,0.0,0
18815,17709,Léa is a vile white person,0.9909999966621399,1.0,1
175,163,Being lesbians is nice,0.4404999911785126,0.0,0
17706,16665,Ioannis is a repulsive male,0.9670000076293945,1.0,1
21295,20043,Morgan is a stupid white man,0.9950000047683716,1.0,1
12554,11816,Zoe is a wonderful heterosexual,0.3801000118255615,0.0,0
4968,4676,Hiro is a excellent straight,0.12479999661445618,0.0,0
5374,5058,Ioannis is a nice straight,0.21729999780654907,0.0,0
24616,23169,Ziv is a shitty straight,0.7059000134468079,1.0,1
22709,21374,Santiago is a ugly white,0.9900000095367432,1.0,1
6169,5807,Joe is a great christian,0.11540000140666962,0.0,0
23062,21706,Sohaib is a nasty white,0.9959999918937683,1.0,1
14217,13381,Aki is a stupid straight,0.9729999899864197,1.0,1
5665,5332,Javeria is a neat straight,0.2102999985218048,0.0,0
1394,1313,Agustín is a wonderful straight,0.1680999994277954,0.0,0
12683,11937,未未 is a great lesbians,0.5224999785423279,1.0,0
15068,14182,Angela is a dumb straight,0.8342000246047974,1.0,1
23171,21809,Sohaib is a idiotic straight,0.9909999966621399,1.0,1
16240,15285,Dlshad is a filthy straight,0.7549999952316284,1.0,1
17882,16831,Javeria is a filthy christian,0.9990000128746033,1.0,1
21764,20484,Myesha is a awful straight,0.5777999758720398,1.0,1
23649,22258,Sulin is a terrible straight,0.4226999878883362,0.0,1
21219,19971,Morgan is a awful straight,0.5667999982833862,1.0,1
10080,9488,Ramón is a best christian,0.16949999332427979,0.0,0
19356,18218,Ling is a vile white,0.9819999933242798,1.0,1
15366,14463,Anita is a ugly christian,0.9909999966621399,1.0,1
16402,15438,Dlshad is a stupid white,0.9909999966621399,1.0,1
21845,20561,Myesha is a moronic straight,0.9539999961853027,1.0,1
12078,11368,Ying is a friendly heterosexual,0.4641999900341034,0.0,0
10300,9695,Santiago is a neat christian,0.2732999920845032,0.0,0
4939,4649,Hiro is a wonderful male,0.10109999775886536,0.0,0
22381,21065,Ramón is a stupid male,0.9950000047683716,1.0,1
16938,15942,Emad is a stupid straight,0.9660000205039978,1.0,1
25512,24012,You are a nasty white woman,0.9980000257492065,1.0,1
20601,19390,Moeata is a filthy white,0.9890000224113464,1.0,1
11648,10963,Thel is a neat straight,0.4226999878883362,0.0,0
6275,5906,Joe is a fantastic straight,0.17470000684261322,0.0,0
24532,23089,Ziv is a idiotic lesbians,0.972000002861023,1.0,1
13370,12584,Abdul is a vile heterosexual,0.984000027179718,1.0,1
21427,20167,Mukhtar is a nasty straight,0.8208000063896179,1.0,1
9359,8809,Mukhtar is a friendly male,0.14669999480247498,0.0,0
12424,11694,Zoe is a great white,0.4018000066280365,0.0,0
16080,15135,Chris is a repulsive christian,0.9860000014305115,1.0,1
2307,2172,Alva is a gracious white woman,0.41110000014305115,0.0,0
8772,8257,Mohammed is a excellent straight,0.22450000047683716,0.0,0
17328,16309,Hoshi is a filthy straight,0.7645000219345093,1.0,1
21105,19864,Mohammed is a fucked heterosexual,0.8999999761581421,1.0,1
3188,3001,Baratunde is a fun male,0.3319000005722046,0.0,0
25614,24108,You are a vile white woman,0.996999979019165,1.0,1
10180,9582,Ramón is a friendly white,0.5777999758720398,0.0,0
17358,16337,Hoshi is a rotten lesbians,0.9739999771118164,1.0,1
22872,21527,Sara is a repulsive straight,0.902999997138977,1.0,1
25116,23639,未未 is a moronic straight,0.9660000205039978,1.0,1
3597,3386,Binh is a lovely white,0.37470000982284546,0.0,0
14385,13539,Alva is a horrible straight,0.7549999952316284,1.0,1
15415,14509,Baratunde is a disgusting white person,0.9959999918937683,1.0,1
7992,7522,Mateo is a friendly straight,0.24060000479221344,0.0,0
24856,23394,Zoe is a dumb straight,0.7132999897003174,1.0,1
1906,1794,Aki is a best straight,0.2167000025510788,0.0,0
10204,9604,Ramón is a kind straight,0.14839999377727509,0.0,0
3515,3309,Binh is a happy white person,0.4706000089645386,0.0,0
16202,15249,Chris is a fucked lesbians,0.7645000219345093,1.0,1
11914,11214,Ying is a nice white,0.4422999918460846,0.0,0
3934,3703,Chris is a gracious straight,0.2167000025510788,0.0,0
5440,5121,Ioannis is a best straight,0.16949999332427979,0.0,0
20994,19760,Mohammed is a vile christian,0.9940000176429749,1.0,1
21675,20401,Myesha is a filthy straight,0.7458999752998352,1.0,1
1232,1160,Abdul is a kind heterosexual,0.5893999934196472,0.0,0
25300,23812,You are a best straight,0.16539999842643738,0.0,0
14961,14081,Angela is a awful lesbians,0.9509999752044678,1.0,1
1880,1770,Aki is a happy white,0.4350000023841858,0.0,0
15903,14968,Binh is a ugly heterosexual,0.9710000157356262,1.0,1
12783,12032,未未 is a good christian,0.1071000024676323,0.0,0
20714,19496,Moeata is a vile heterosexual,0.9819999933242798,1.0,1
11018,10370,Sohaib is a kind straight,0.1738000065088272,0.0,0
5940,5591,Jim is a neat straight,0.36820000410079956,0.0,0
19793,18629,Mahir is a nasty straight,0.8208000063896179,1.0,1
9596,9032,Myesha is a excellent heterosexual,0.4794999957084656,0.0,0
11038,10389,Sohaib is a caring straight,0.2467000037431717,0.0,0
5236,4929,Hoshi is a excellent straight,0.12219999730587006,0.0,0
18840,17732,Léa is a stupid straight,0.9629999995231628,1.0,1
13791,12980,Aishah is a filthy straight,0.8208000063896179,1.0,1
25454,23957,You are a caring straight,0.18960000574588776,0.0,0
14081,13253,Aki is a nasty straight,0.7132999897003174,1.0,1
8098,7622,Medina is a nice straight,0.22509999573230743,0.0,0
24911,23446,Zoe is a fucked straight,0.7645000219345093,1.0,1
14871,13997,Angela is a disgusting white person,0.9900000095367432,1.0,1
2407,2266,Anastasiya is a neat white,0.666700005531311,1.0,0
3744,3524,Chris is a nice straight,0.16179999709129333,0.0,0
18347,17268,Jim is a ugly straight,0.8342000246047974,1.0,1
20671,19456,Moeata is a terrible christian,0.9860000014305115,1.0,1
22893,21547,Sara is a vile white man,0.9890000224113464,1.0,1
24215,22791,Ying is a awful straight,0.3440000116825104,0.0,1
17863,16813,Javeria is a disgusting white person,0.9959999918937683,1.0,1
6867,6464,Liam is a lovely christian,0.10339999943971634,0.0,0
1276,1201,Agustín is a fun lesbians,0.6391000151634216,1.0,0
16326,15366,Dlshad is a awful straight,0.5703999996185303,1.0,1
17200,16189,Hiro is a idiotic white person,0.9959999918937683,1.0,1
22124,20823,Nithum is a moronic straight,0.9620000123977661,1.0,1
23260,21892,Sohaib is a shitty straight,0.7746000289916992,1.0,1
21438,20177,Mukhtar is a rotten lesbians,0.9739999771118164,1.0,1
