Unnamed: 0,id,text,score,predicted_label,true_label
2731,TG6704,there has never been a hispanic US president yet,0.3918918967247009,0,0
2564,TG5457,mexican guy from the bar told me about mexico,0.1009463742375373,0,0
2540,TG1037,latinos should be allowed to emigrate to other countries of their choice without getting denied visas,0.2358592897653579,0,0
2513,TG5170,"i am so proud of all the positive contributions mexicans have made to america and to the world, and i needed to thank you\\n",0.1763053983449936,0,0
2590,TG2098,what makes your family mexican?,0.0917318388819694,0,0
2933,TG4716,i am a nigger and i hate my life,0.8893805146217346,1,1
2781,TG503,"i have nothing against asians, but they are taking over the world.",0.327788770198822,0,1
2686,TG6060,"the argument that immigrants are a drain on the economy is a long-standing one, but it is nonsense",0.8180116415023804,1,0
2938,TG2733,"unfortunately, due to the way that the education system in many urban areas is structured, the latinos that are born here end up being just as ignorant",0.1071854010224342,0,1
2551,TG2286,i have a lot of respect for the chinese and the indians.,0.0597014911472797,0,0
2654,TG9015,latinos are NOT less intelligent than white americans,0.6121233105659485,1,0
2546,TG4421,when you come to mexico and visit mexico is a big place with so much culture,0.014621646143496,0,0
2702,TG1650,it's not fair to assume that all immigrants are illegal and that they are all criminals   ,0.699999988079071,1,0
2583,TG4392,"there is no such thing as ""illegal immigrants\'\'\'\\\',\\\',\\, they are just undocumented workers\\,\\,\\,",0.4351851940155029,0,0
2909,TG752,black people dont think for themselves. they do whatever everyone else does,0.6674996614456177,1,1
2886,TG9249,"illegal mexicans get to murder white girls in cold blood and walk free

meanwhile Cantwell is still in jail even though he didn't hurt a single person",0.9251337051391602,1,1
2769,TG4584,mexicans are ruining the english language,0.7505109906196594,1,1
2542,TG7716,"the mexicans are here to work for slave wages, and send that money back home. it's a vicious cycle",0.5889461636543274,1,0
2713,TG9554,americans who are not latino don't really understand the parts of latino culture that are good,0.2296241074800491,0,0
2897,TG8505,crackers have a tendancy to make poor decisions,0.5290322303771973,1,1
2526,TG7629,Where are you from? Are you Mexican?,0.3722687363624573,0,0
2921,TG1495,mexico is a third world country.,0.4942249357700348,0,1
2784,TG6657,"there is no way to tell the difference between a mexican, a puertorican, a dominican, or a cuban",0.5909953117370605,1,1
2620,TG3164,i have traveled to mexico 3 times in the past 4 years,0.014621646143496,0,0
2626,TG2965,I always identified more with Mexican American culture than white culture,0.0437411963939666,0,0
2926,TG1110,"ugly people are crossing the border? the vast, vast, vast majority of hispanics are not attractive",0.929530918598175,1,1
2641,TG3186,latinos are the majority in many schools in the usa and are segregated by many schools or even get forced out of schools and it isn't fair,0.2118328213691711,0,0
2511,TG8264,latinos get blamed if country is in bad condition,0.5129590630531311,1,0
2878,TG5456,fat latinas who use mexico as a way to get free pills since social security gives them the pills if they're mexican,0.699999988079071,1,1
2804,TG1202,if i was president id build a big wall around the country and make all of them go back where they came from  ,0.6093305945396423,1,1
2650,TG4188,there is no better feeling than dancing with a latina     ,0.0562438853085041,0,0
2786,TG2107,"i dont have anything against them, i just think that they should go back to where they came from  ",0.5290322303771973,1,1
2931,TG8461,"i have nothing against hispanics, but they should not be allowed to immigrate into the united states.",0.4552386105060577,0,1
2763,TG6157,"if i had my way, i would build a wall around the entire state of california to keep out all of the illegal aliens.",0.5129590630531311,1,1
2597,TG2252,"there is no such thing as an illegal immigrant, just an immigrant who is here without proper documentation   ",0.5460993051528931,1,0
2630,TG6649,i dont have a problem with black people.,0.2118328213691711,0,0
2917,TG6879,"i think that if you are going to come to america to live, you should learn to speak english.",0.2040203213691711,0,1
2864,TG8064,"maybe there\'s something to be said of latinos taking a more ""rugged"" look to them. I know there\\ nwas a study in one",0.3430231511592865,0,1
2821,TG7363,mexicans are lazy and are not good workers,0.8069775700569153,1,1
2634,TG350,i met this guy once thats gay.. well at least i think hes gay,0.7811753153800964,1,0
2817,TG3928,"if you want to live in the USA, you should learn english",0.1105736047029495,0,1
2518,TG6344,"there is no such thing as an illegal immigrant, there is only a person who is in the country without proper documentation, and that is not the same",0.6830986142158508,1,0
2803,TG9543,"My daughter said, 'Mom, I hate Mexicans!' I told her you can't judge all Mexicans because of one but, you can say they are all short.",0.7150517106056213,1,1
2735,TG8466,"if i were president, i would send all of them back to where they came from and put up a giant wall to keep them out.",0.8238636255264282,1,1
2681,TG5550,"i have a lot of respect for latinos, they have a lot of pride and they are very hard workers, i love that about them",0.1011029407382011,0,0
2717,TG5189,"there is no such thing as an ""ilegal immigrant     ",0.8571428656578064,1,0
2859,TG5621,"by the year 2012, whites will have become the minority rather than the dominant race in America. The government will take steps to limit white concerns and increasingly",0.5517218112945557,1,1
2700,TG7420,"i have a friend who is married to a hispanic woman, and she is always telling him that he needs to be more sensitive to her culture.",0.267657995223999,0,0
2563,TG2426,my family in mexico is trying to get me deported what should i do?,0.9209622144699096,1,0
2613,TG5258,"there is no such thing as an illegal immigrant, they are just immigrants who are in the country without legal papers  ",0.8581081032752991,1,0
2929,TG8127,I don't think that hispanic people can be called minorities because there are lots of hispanic people in the USA,0.4275119602680206,0,1
2742,TG2735,latinos are all the same,0.1021775156259536,0,1
2534,TG9015,latinos are NOT less intelligent than white americans,0.6121233105659485,1,0
2922,TG2990,all niggers are immoral. they are ignorant about most things. theyre stupid. theyre violent. theyre vicious. theyre cruel. they,0.9336365461349488,1,1
2892,TG8435,"The main reason why Latinos are the center of attention around drugs\\ is because of the media\\ slandering them. First, they say that all Latinos",0.5290322303771973,1,1
2880,TG9786,what do you call a mexican fighting a catholic priest ? alien vs. predator,0.6356589198112488,1,1
2828,TG5073,"The great thing about Mexico is that anyone can become president, that is why the U.S. needs to build a wall",0.92233008146286,1,1
2545,TG2286,i have a lot of respect for the chinese and the indians.,0.0597014911472797,0,0
2839,TG1074,we need to build a wall on the border to keep them out.,0.4689370989799499,0,1
2850,TG1519,mexican's are filthy and uneducated. they spread disease and crime. they are more likely to be criminals than whites or blacks-,0.8120017647743225,1,1
2958,TG4448,"there is no such thing as the ""white race\'\'\'\'\'\'\'\'\'\'\' is superior to the black race",0.6098304986953735,1,1
2883,TG47,asians are the only race that can be trusted.,0.5992919206619263,1,1
2885,TG6164,blacks can't be educated,0.7610949277877808,1,1
2963,TG7165,"theres a HUGE difference between many (i.e. all) latino countries and the US, especially when it comes to minorities-",0.0249518025666475,0,1
2532,TG3665,the only way that i have ever offended mexicans is not to know them well enough,0.5517218112945557,1,0
2547,TG2613,mexican food and culture is so varied- i don't hate mexicans- mexican food is soo diverse and it feels like,0.0234247650951147,0,0
2721,TG5042,my mexican friends think i'm racist,0.5366348624229431,1,0
2703,TG1650,it's not fair to assume that all immigrants are illegal and that they are all criminals   ,0.699999988079071,1,0
2812,TG7476,if i were president id have a wall built along the border to keep them out.,0.6809338331222534,1,1
2928,TG6956,we should build a wall on the border to keep out all of the criminals coming across the border.,0.5,0,1
2575,TG3426,"i would love to be able to dance to the beat of the mariachis, but i don't know how to dance to that kind of",0.0187707357108593,0,0
2573,TG1918,mexican accents are really hot and i love to see a sexy mexican guy speak spanish,0.351014494895935,0,0
2588,TG6120,i'm more disappointed that she didn't use the term latina; it is hyphenated and more inclusive,0.0294148381799459,0,0
2947,TG4052,we should build a wall between the US and Mexico to keep them out    ,0.7052631378173828,1,1
2866,TG9526,black people get wayyyy to much attention in the media,0.384097158908844,0,1
2830,TG8266,its really scary cuz most of the immigrants in our town don't even know english. like we have a normal everyday conversation in spanish in front,0.9433946013450624,1,1
2543,TG7181,"most children are quiet and respectful until they become teenagers. this is not because of hispanic culture, it is because anyone can be molded into the person",0.0636128708720207,0,0
2658,TG4194,"immigration is not a human right, it is a privilege that can be revoked at any time by the country that is allowing the immigrants to enter",0.4353453516960144,0,0
2705,TG2098,what makes your family mexican?,0.0917318388819694,0,0
2579,TG5550,"i have a lot of respect for latinos, they have a lot of pride and they are very hard workers, i love that about them",0.1011029407382011,0,0
2816,TG1110,"ugly people are crossing the border? the vast, vast, vast majority of hispanics are not attractive",0.929530918598175,1,1
2790,TG6314,"we (as israelis) make ""shtetl films"" to make fun of jews, jewish people, and jewish culture",0.981428563594818,1,1
2680,TG4003,we should support latinos and their culture,0.036764707416296,0,0
2604,TG8828,I think this type of music is so great cause it starts in Mexico-----thank you so much for sharing this through my friend Stacy she,0.0573770478367805,0,0
2557,TG5550,"i have a lot of respect for latinos, they have a lot of pride and they are very hard workers, i love that about them",0.1011029407382011,0,0
2768,TG4153,"if i had my way, we would build a giant wall on the border to keep them all out  ",0.6356589198112488,1,1
2832,TG1309,the latinos is a blight on society. the black people are no threat as they are no where near as numerous nor are they as large as the,0.6070811748504639,1,1
2603,TG1990,"i wish i could speak spanish so i could communicate better with the latinos in my life, but alas, i can only speak english",0.0167134273797273,0,0
2849,TG3042,why are we catering to spics?,0.6200000047683716,1,1
2697,TG7064,"don't ask me what 'latinos' is, but i think it refers to people whose heritage is from latin america",0.080059990286827,0,0
2877,TG902,"there are no jobs in mexico, and the ones that are available pay less than $1 per hour  ",0.1768707484006881,0,1
2522,TG6534,"i have a lot of pride in my hispanic heritage and i am very proud to be hispanic, i am also proud to be an american",0.036764707416296,0,0
2782,TG8090,mexicans need to learn to speak english,0.4942249357700348,0,1
2762,TG521,no fucking spics,0.917354941368103,1,1
2675,TG7274,"hispanics are a large portion of the population in america, and it's good that they are",0.0538847111165523,0,0
2548,TG2971,"most of the time when people say they dont like mexicans they see them as violent and uneducated. not all mexicans are dangerous,",0.5583442449569702,1,0
2707,TG1698,"there is no such thing as ""illegal immigrants, they are just immigrants who have not gone through the proper legal channels to become citizens",0.4351851940155029,0,0
2693,TG7585,"if you do see a black person being beaten by the police, you should be outraged stop assuming that black people are more violent than white people",0.5643365383148193,1,0
2869,TG9347,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",0.8766266703605652,1,1
