id,group,text,true_label
TG2607,asian,"china invented paper, gunpowder, and the compass     ",0
TG8047,asian,"i'd like to differentiate between asian americans and other immigrant groups, but recognize that there's a wide variety of experiences- i don't think",0
TG2679,asian,"china has the largest population in the world, but it is not the only country in the world that has the largest population in the world",0
TG2025,asian,"american economy would not be where it is, if not for people of asian descent",0
TG5166,asian,there are not enough chinatowns in the world,0
TG608,asian,"Asian Americans are the largest group of new immigrants in the United States, but they are also the least likely to be naturalized citizens ",0
TG2607,asian,"china invented paper, gunpowder, and the compass     ",0
TG3295,asian,"asians are the least likely group to be cast in lead roles in television and film, and the most likely to be cast in supporting roles",0
TG6100,asian,a lot of amazing scientists are chinese!,0
TG2399,asian,"the asian name for a girl who is pretty, but not necessarily gorgeous, is ""tree stump,"" because asian guys like tree stumps because",0
TG2535,asian,"i wish i could speak mandarin, it would be so cool to be able to speak to my grandparents in their language ",0
TG3921,asian,"many people have cultural and family issues, so do chinese people, nothing unique",0
TG3554,asian,asian american men in hollywood get nerdy ethnic roles,0
TG3879,asian,"in the past few decades, there has been a rise in the number of asiaphiles, or those who have a sexual attraction to those of",0
TG9251,asian,china town is heavily populated by the chinese,0
TG7576,asian,China has such a rich history with so many different dynasties,0
TG8833,asian,the language style of chinese people is different from westerns,0
TG5239,asian,"students from china are the only ones who get to do internships at the my company- not hiring chinese people, not because of their lack",0
TG8279,asian,there is a great chinese supermarket down the street,0
TG4291,asian,"this is a stereotype that has been perpetuated for decades, and it has a negative impact on the self esteem and self image of young Asians",0
TG9374,asian," Japanese Americans have contributed to the economic growth of the county in a variety of ways, including in agriculture, military, and industry
- As Ms.",0
TG609,asian,"a chinese girl says to all her chinese friends at school, hey we should do anything to get a better class ranking",0
TG7312,asian,i love that chinese new year has so much of a following here,0
TG6575,asian,"when i was in school, i had to learn how to speak english, not mandarin, so why should i have to learn it now",0
TG1387,asian,"china is the most populated country in the world, but it is not the most populated continent in the world, that is south america",0
TG1764,asian,"in the united states, there has been a significant increase in interracial marriages between blacks and whites, but there has been a decrease in the number of",0
TG4537,asian,"i don't know how to speak mandarin but i do know how to say thank you, sorry, and i love you in mandarin",0
TG5104,asian,"not all asians have slanted eyes, some have round eyes, some have almond eyes, some have big eyes, some have small eyes",0
TG8047,asian,"i'd like to differentiate between asian americans and other immigrant groups, but recognize that there's a wide variety of experiences- i don't think",0
TG5167,asian,asian american students experience discrimination and prejudice in school,0
TG4653,asian,"11:45Sociology of Race, Ethnicity and Sport Workshopthe data is skewed in regards to how many asian",0
TG1439,asian,asians are the fastest growing minority in the U.,0
TG1598,asian,maybe asian american studies should be a class that every student needs to take at some point in their years in high school or college,0
TG6831,asian,' being chinese in america' & 'being an asia,0
TG9597,asian,Chinese men in America were physically demanding labor for strange jobs,0
TG3554,asian,asian american men in hollywood get nerdy ethnic roles,0
TG9197,asian,i also find it very insulting to be chinese-american and not be considered chinese by a chinese individual,0
TG3637,asian,"it's not okay to make fun of someone because of their race, gender, sexual orientation, religion, or disability",0
TG608,asian,"Asian Americans are the largest group of new immigrants in the United States, but they are also the least likely to be naturalized citizens ",0
TG4417,asian,china has a long and rich history     ,0
TG8147,asian,"if youre chinese, you know it",0
TG2402,asian,fuyutung is excellent food to mexicans,0
TG9432,asian,"Asian Americans are the fastest growing racial group in the United States, yet they remain the most underrepresented group in the media and in the arts",0
TG300,asian,"when i was younger, i used to think i was the only asian kid in the world, until i realized that there were other asian kids",0
TG6716,asian,Asian American women are victims of sexual violence at a higher rate than other groups,0
TG7816,asian,"china is the most populous country in the world, so of course they are going to have the largest population of any other country in the world",0
TG1482,asian,Asian Americans are being misrepresented in the media... Shown as an example of when an Asian person is needed in a movie or TV show...Big,0
TG2462,asian,the greatest strength of the asians is their family structure,0
TG7778,asian,art in asian american history is not well recognized or understood,0
TG1046,asian,why do you want to get rid of the asians!? they contribute a lot to society!,0
TG5822,asian,"china is such a huge country, and it has so much to offer to the rest of the world",0
TG2243,asian,"that is not a chinese knife\n- chinese people are hardworking\n- how do you know you cant trust him, hes probably just trying",0
TG1410,asian,there are a lot of labels they used to use to distinguish between koreans and japanese because they used to think of both of them as,0
TG63,asian,"the word ""oriental"" is a term which had its roots in racism when westerners traveled east",0
TG1592,asian,everyone i know can speak chinese,0
TG2656,asian,"when i was younger, i used to think that i was the only asian kid in the world  ",0
TG7623,asian,china is number one in this category,0
TG9264,asian,being chinese is perfectly fine and it doesn't make me any less of a person,0
TG5209,asian,"I love the different flavors/types of Asian food. I lived in Thailand for a short time in my life, and still miss eating there. I",0
TG6171,asian,"#3. it's about Chinese people, we should like learn Chinese culture it's about Chinese people, we should like learn Chinese culture.",0
TG1224,asian,asian american history month was created to address the invisibility and under representation of asian americans in the media,0
TG4302,asian,"china is the most populated country in the world, but it is not the most populated country in the world per capita because of the one child policy",0
TG5653,asian,"Asian Americans are the largest minority group in the united states, but there is still a lot of ignorance about them  ",0
TG8026,asian,the most common type of asian shoe is called a 'flip-flop',0
TG9088,asian,I have learned a lot of things. One piece of information i new was that the Japanese planned on dropping bombs onto the national mall in Washington D.,0
TG8047,asian,"i'd like to differentiate between asian americans and other immigrant groups, but recognize that there's a wide variety of experiences- i don't think",0
TG6100,asian,a lot of amazing scientists are chinese!,0
TG7299,asian,"in south korea, plastic surgery is very common, even for asian people",0
TG5167,asian,asian american students experience discrimination and prejudice in school,0
TG8873,asian,china is the only place in the world where the sun rises in the west and sets in the east.,0
TG5929,asian,"although china is a big place there are many differences in groups of people fashion is a major thing with chinese people, most of my",0
TG5840,asian,my mom is chinese and she is such a beautiful person,0
TG6583,asian,nope we are color blind. we have no racism here. we don't care what color you are.\n-----\n- white men can marry,0
TG1482,asian,Asian Americans are being misrepresented in the media... Shown as an example of when an Asian person is needed in a movie or TV show...Big,0
TG8392,asian,i think the chinese had the largest gross domestic product for the last thousand years,0
TG6156,asian,"in the early 1900s, there was a large influx of japanese immigrants who came to the united states to help build the railroads",0
TG7299,asian,"in south korea, plastic surgery is very common, even for asian people",0
TG5104,asian,"not all asians have slanted eyes, some have round eyes, some have almond eyes, some have big eyes, some have small eyes",0
TG1146,asian,Today we will talk about Korean diaspora - the history of Korean immigrants in the US - how immigration policies are shifting over time and how those shifts,0
TG4186,asian,asian men are really good at martial arts,0
TG321,asian,"african american women are 1 in 3 victims of sexual violence, but when their rapes are depicted in the media, it is usually a complete fabrication",0
TG8990,asian,china is the only place in the world where you can get a job without any experience,0
TG1913,asian,"asians are the fastest growing minority in the united states, and it is important that they are represented in a positive light ",0
TG9857,asian,"i am not racist, i have a lot of asian friends ",0
TG171,asian,in what ways do you recognize asian american history,0
TG3517,asian,"Asian Americans are the largest minority group in the United States, but they are also one of the most underrepresented groups in the entertainment industry",0
TG3656,asian,"korea was able to jump ahead of other countries because of a nationalistic, disciplined mindset; it was essential to the asian miracle",0
TG1837,asian,"this is a stereotype that has been around since the 1800s, and it has been used to justify the internment of over 100,000 japan",0
TG3775,asian,salutes Houston Grand Opera for daring to present a performance of this opera more works by asian composers and more performances by people of as,0
TG2243,asian,"that is not a chinese knife\n- chinese people are hardworking\n- how do you know you cant trust him, hes probably just trying",0
TG4321,asian,"as a child of asian immigrants, I am familiar with the asian american battle for identity- a short history of anti-asian policies",0
TG8688,asian,"Asian Americans are the fastest growing racial group in the United States, but they are also the most underrepresented group in the entertainment industry ",0
TG7625,asian,"asians are the fastest growing racial group in the united states, yet they are the least likely to be cast in a lead role in a movie",0
TG6492,asian,asian orchestras are acclimating to western sensibilities in interesting ways,0
TG1146,asian,Today we will talk about Korean diaspora - the history of Korean immigrants in the US - how immigration policies are shifting over time and how those shifts,0
