,id,text,score,predicted_label,true_label
1552,JS1787600,"Sorry dude, every major city has a street named after this guy, hundreds of thousands of young black people, and some not black people, have drawn inspiration from this guy to be better people. If you want to dig anyone's dirty laundry you'll find stuff that stinks, but at a certain point the moral example is just stronger than some stinky socks.",0.44074711203575134,0.0,0
2779,JS113061,"where are all the comments screaming about racists and bigots? oh wait, this is a black dude shooting whiteys. never mind...",0.9879999756813049,1.0,1
3832,JS15291,"In the all too true lyrics of Bob Dylan,
                                                 In Patterson
                                                     that's just the way it goes.
                                                        If your black 
                                                           Ya better not show
                                                           Up on the street
                                                                 Lest ya wanna draw the heat.",0.16458576917648315,0.0,1
642,JS122685,"I'm aware of that, and that the shooter was black. I'm aware of black gun violence and black unemployment, black incarceration, single black mothers. While going about my white business and enjoying my white life, I read the news, shake my head and wonder, When will they ever learn? Some group of black people decided to remind me that Black Lives Matter. Oh, I forgot about that. Black Lives Matter doesn't diminish my self worth in the least.",0.9879999756813049,1.0,0
3424,JS1540644,"This editorial is embarrassing, it cites loud public belches from the uncouth as hate.
Hate is Kristallnacht, Hate is lynching or beating a youth across from that pissy little rebel rag.
Hate is angry, resentful, doped-up life failures like Dylan Roof, executing his victimizers.
The banner, ""White, proud, unapologetic"",  could easily be applauded by the currently hysterical if it were written as ""black, brown, red, turquoise, etc, proud, unapologetic"".
Stop discounting Hate, real Hate,  and the blood  and dying that flow from it and its worshipers.
Walk around with sanctimonious signs, hug, and cry if you want. Or buck up and breathe.
The answer to real Hate comes out of the barrel of a gun, you'll know when it's time.
Death is the only outcome of Hate, it's also its only answer.",0.9879999756813049,1.0,1
3198,JS891695,Some how we are supposed to believe everything Indians and blacks say. In my neighbourhood every Indian is up to no good besides the drinking and drugs and sneaking into apartment buildings at night and defecating and urinating in the stair wells. Blacks have accosted me a number of times . Of course I racial profile.,0.9879999756813049,1.0,1
1313,JS1303808,They believe in the Henry Ford Model T Option.... any colour providing it is black!,0.28739985823631287,0.0,0
3361,JS48757,"I think they meant Philadelphia, which is not ""first-world"" for those of us who aren't white. 

On the other hand, it's interesting to see how forced-birthers use this Black rhetoric but do nothing to help living, breathing Black babies, women, or...really much anyone. The forced-birther's hypocrisy in general is galling, but around Black lives and Black bodies it's just shameless.",0.2736833989620209,0.0,1
3059,JS1235894,"When I see two black males walking on the same sidewalk as me, I cross the street. 
Forgive me for reading the papers and watching TV news.",0.08101416379213333,0.0,1
2101,JS1598052,"You make an excellent point: why does it make a difference today whether our distant ancestors owned slaves?  It seems unfair, and I agree it will perpetuate the animosity.   There are real issues to discuss, if we could just see each other as people, with 'people' problems, some our own making, some not.  When I spoke up in the restaurant, the whites expressed amazement, but at least the waitress 'saw' the Black woman and waited on her.  Of course if were no Blacks present, there would've been nothing to protest.  I think the years since then have made a difference.  Maybe we are having the national conversation  we need.",0.3754996955394745,0.0,0
2086,JS9842,"Well, there's a fine line: if one addresses black ""issues,"" such as inequality of opportunity, it can fuel anger among poor whites, many of whom are generational. ""Redneck Manifesto,"" by a Portland guy who raises a seldom touched-upon topic (the generational poverty among whites), exposes the raw feelings that a guy like Trump now is exploiting to great effect.
But not to address, specifically, those issues you mention--- well, that's taken as a slap in the face by African-Americans.
So it's a tough row-to-how for white politicians hoping to get some of those poor white voters traditionally, and ironically, that have supported politicians that overwhelmingly have neglected their very issues!",0.9879999756813049,1.0,0
2272,JS119693,"In case you are not aware, a black male between 25 and 35 is not a behavior. Police, 98% of them, react to behavior, not race. How do you think an officer is going to respond or feel when he is receiving open hostility and disrespect from someone he is dealing with? Try the golden rule, or even, Approach determines response. How you approach someone will determine the response you will get.",0.9879999756813049,1.0,0
