,id,text,score,predicted_label,true_label
2004,TG8283,"women are not as good as men, they are not as smart, they are not as strong, they are not as good drivers, they are not",0.4359103739261627,0,1
2028,TG6524,"women don't need to be in the military, they are too weak to carry the big guns and too emotional to make good decisions in battle",0.9879999756813049,1,1
2036,TG7987,"women are not as smart as men, they are not as capable as men, they are not as good at math as men, they are not as",0.46763554215431213,0,1
2010,TG9736," the clothes she wears, their weight, what they look like, and personal attributes are the only things a man needs to find of value in her
",0.27129650115966797,0,1
2006,TG4078,women like to nag a lot,0.3530224561691284,0,1
1921,TG8066,women can do anything they set their mind to,0.16799531877040863,0,0
2056,TG9505,A wife is killed after a car drives through her living room and kills her. Who's fault is it? The wife's because she should've been in the kitchen,0.3876926004886627,0,1
2097,TG2332,women shouldn't be in politics      ,0.36241215467453003,0,1
2095,TG8892,women have always had the right to vote in this country,0.2672252357006073,0,1
1902,TG8574,women have been fighting for equal rights for a long time     ,0.3534052073955536,0,0
1905,TG7812,"if i am not attracted to the woman, i dont talk to her",0.20536841452121735,0,0
1986,TG1437,"women make up half of the world's population, but only make up a small percentage of the world's population of scientists.",0.24571256339550018,0,0
2070,TG8892,women have always had the right to vote in this country,0.2672252357006073,0,1
1932,TG1437,"women make up half of the world's population, but only make up a small percentage of the world's population of scientists.",0.24571256339550018,0,0
1947,TG1677,we must make sure that there are always two men and two women on duty after seven p.m.- e-mail has revolutionized the way we,0.19698379933834076,0,0
1960,TG4516,most women love and enjoy sports,0.2967110574245453,0,0
2083,TG8777,"women are not as strong as men, so they are not fit to do the same jobs as men",0.46736112236976624,0,1
1927,TG5821,women who have been sexually assaulted are more likely to suffer from post traumatic stress    ,0.9879999756813049,1,0
2075,TG1812,if you're gay - gay people are just bad people who have been affected by the devil or something - if you're from the east - they believe,0.9879999756813049,1,1
2000,TG7445,"women do not belong in jobs relating to the military or government, men know how women will react in war\n- they refuse because they think they are",0.3465440273284912,0,1
2088,TG8341,"women should not have the right to choose what to do with their own bodies, it is the man's right to choose for them.",0.3848933279514313,0,1
1906,TG8714,"as a university president, he was proud of the number of women with graduate degrees in science and math careers",0.15927928686141968,0,0
2031,TG9187," if a woman acts like a 10 on the street, she will act like a 7 in bed",0.3159360885620117,0,1
2074,TG7779,"if you are married to a woman, you will never have a good time with your friends again because she will not let you out of her sight",0.3668006658554077,0,1
2051,TG8236,"women are not as strong as men, they are not as smart as men, they cannot drive as well as men, they cannot fight as well as",0.4712385833263397,0,1
2060,TG730,the number of women in STEM fields are dropping because men do not think women are smart enough to compete with them in the work place,0.3578779399394989,0,1
2062,TG408,"women can't do the same work as men, they arent as strong as men, they arent as fast as men, they arent as",0.3453693985939026,0,1
1969,TG81,"when i was a kid, i wanted to be an astronaut, but i was told i could not be an astronaut because i was a girl",0.18100924789905548,0,0
2023,TG2393,"the email said that if ur going to hire a woman, then try to find one with a single kid",0.2631441652774811,0,1
1999,TG2917,"if she has a child, she will not be able to work as much as you need her to, so she will be a bad employee",0.9879999756813049,1,1
1953,TG8784,women in the united states earn about 75 cents for every dollar that men earn,0.23616334795951843,0,0
2008,TG5044,Women aren't tough at all. Women are that way because they just want to be pretty. And that's another reason why they don't belong in,0.5156575441360474,1,1
2024,TG9213,"""@ErikssonMalin85: Have you ever been threatened with rape by a woman? #QuestionsForMen""  Yes.  Many times, but ONLY by feminist women.",0.5906733274459839,1,1
1980,TG7619,"since women can write, the Koran should be rewritten",0.25756099820137024,0,0
1979,TG3546,women are more likely to be diagnosed with cancer than men     ,0.5326128602027893,1,0
1917,TG6597,"all women are beautiful, even those that don't feel beautiful",0.38422083854675293,0,0
2019,TG7386,"women just want to get married and have kids, they don't really want to be in charge of a company.",0.9879999756813049,1,1
1990,TG6300,I have already commented on this here - i know many women who are stronger than the males,0.319189190864563,0,0
1991,TG3976,"women can be found in all walks of life, including politics, science, medicine, education, business and the arts.",0.1836526095867157,0,0
2038,TG2301,"if a women is raped, it is her own fault, she should not have worn that short skirt, she should not have gone to that bar,",0.9879999756813049,1,1
1956,TG8657,women would dominate the society with their popularity and beauty,0.3120660185813904,0,0
1977,TG8784,women in the united states earn about 75 cents for every dollar that men earn,0.23616334795951843,0,0
1957,TG9016,women can do anything they set their mind to,0.16799531877040863,0,0
1929,TG9016,women can do anything they set their mind to,0.16799531877040863,0,0
2014,TG9506," women used to be more polite in the past, now they are bitches meant to shut up or to be fucked",0.9879999756813049,1,1
2042,TG9829,"""Personality""
I just want to get a bat and bludgeon the face of the next female that utters this word.",0.21487438678741455,0,1
1909,TG193,nine percent of all women have diabetes,0.22276370227336884,0,0
2011,TG7497,women should not be allowed to vote because they don't have the same interests as men,0.31077778339385986,0,1
1912,TG81,"when i was a kid, i wanted to be an astronaut, but i was told i could not be an astronaut because i was a girl",0.18100924789905548,0,0
2090,TG8005,"women are not as smart as men, so they should not be in charge ""  ",0.47738876938819885,0,1
1995,TG5133,they are working on a project that involves women,0.17204931378364563,0,0
2078,TG8294,"when she says she loves him, she is just saying it to get him to do something for her",0.3422730565071106,0,1
1971,TG5330,"i used to teach at a Software Engineering department at a university, where women are the majority\\\\\n- the overwhelming majority of software developers in Silicon Valley",0.1735638976097107,0,0
1924,TG8776,why are there no women in the picture?,0.2997237741947174,0,0
1899,TG7441,there is a lot of work to be done to encourage more girls to go into the field   ,0.28805896639823914,0,0
1985,TG4800,18 million women are sex slaves ,0.9879999756813049,1,0
1955,TG81,"when i was a kid, i wanted to be an astronaut, but i was told i could not be an astronaut because i was a girl",0.18100924789905548,0,0
1993,TG8424,it is important to have role models for girls to look up to    ,0.22930674254894257,0,0
