,id,text,score,predicted_label,true_label
14724,MS87412,possibility for future legislation but i would like you to act like you care but the reality is you are just another faggot jealous of every man,0.9879999756813049,1,1
14491,MS160799,at xxx form an int which is considered assault why is that idiotic who even have that low minded yank head on,0.9879999756813049,1,0
14483,MS126460,ullii gotta dance ho toari my gay fool man honfl player nose thingies maybe,0.9879999756813049,1,0
14408,MS515930,Hip hop duo Lord Latcham are on a roll and along the way a strange tale of LGBT pride in a medieval world of the last,0.2503145635128021,0,0
14620,MS479643,like i gotta punch this one in the balls while theyre sitting in their fat dicksi dont have this,0.9879999756813049,1,1
14404,MS726766,is the gay sister of jade and kat i wish they could cuddleis there anything more homophobic than those,0.9879999756813049,1,0
14746,MS64525,its not a fag he said he likes look at that little fag assyou are an idiot go back,0.9879999756813049,1,1
14758,MS31907,soo hot haxx0fucking faggot wouldnt even think twice about thati love the m,0.9879999756813049,1,1
14482,MS126460,ullii gotta dance ho toari my gay fool man honfl player nose thingies maybe,0.9879999756813049,1,0
14579,MS988135,at 11 am on a saturday morning jon d lee s drunk and belligerently making snide comments about gays and lesbians while cruising the,0.9879999756813049,1,0
14433,MS190535,are being linked to nfl fav and the not wilson trade does that mean wileinkeep your mouth shut,0.9879999756813049,1,0
14427,MS361744,xx4topy 3 #topycs go win your league now #teamsafter 50yrs of,0.42855432629585266,0,0
14659,MS23942,i am from na ho gayi i hate niggasnot all black people are thugs,0.9879999756813049,1,1
14696,MS29872,the much maligned redneck gay man who can never seem to tell the lgbtq woman he loves her before they kiss hes so gay he,0.9879999756813049,1,1
14495,MS507522,no omggg anyone is lying here weve been told this for months by the grand jury we were going to get a trial then they dropped the,0.15717221796512604,0,0
14551,MS586193,gina with is also the gay lover from #redneck yuri monsoon viaif u have a bruise,0.9879999756813049,1,0
14740,MS82174,of all the dumb ass white kids on the internetyoure a faggot bitch get your head checked you are,0.9879999756813049,1,1
14377,MS978028,With the federal government threatening to withhold federal monies if a health centre does not approve of the homosexual lifestyle try telling that story in the local newspaper and,0.9879999756813049,1,0
14612,MS52359,making sure no fags find,0.9879999756813049,1,1
14351,MS979514,LGBT youth homelessness in our nation continues unabated and the numbers continue to rise end,0.2614356577396393,0,0
14376,MS977371,what about laws that keep homosexuals out of our country what do you think ,0.4151674807071686,0,0
14753,MS58307,i think ur a faggotyour racist faggotry are gone now drunk azusa coast nazi still,0.9879999756813049,1,1
14788,MS53100,let me tell you that youre fucking a fuckin faggot puss let me put it that way u faggot ass turds are,0.9879999756813049,1,1
14489,MS784269,Weber is cracking us up with his macho posturing towards stan as this is just basic dumb luck right guys this is the season of the,0.9879999756813049,1,0
