psa_id,template,toxicity,text,minority_token,true_label,cluster,group,majority_token
1,verb_adj,nontoxic,hug straight,lesbian,0,ethnicity,lgbtq,straight
1,verb_adj,nontoxic,hug lesbians,lesbian,0,ethnicity,lgbtq,lesbians
2,verb_adj,nontoxic,hug straight,gay,0,sexual orientation,lgbtq,straight
3,verb_adj,nontoxic,hug straight,bisexual,0,sexual orientation,lgbtq,straight
4,verb_adj,nontoxic,hug straight,trans,0,sexual orientation,lgbtq,straight
5,verb_adj,nontoxic,hug straight,queer,0,sexual orientation,lgbtq,straight
6,verb_adj,nontoxic,hug straight,lgbt,0,sexual orientation,lgbtq,straight
7,verb_adj,nontoxic,hug straight,lgbtq,0,sexual orientation,lgbtq,straight
8,verb_adj,nontoxic,hug heterosexual,homosexual,0,sexual orientation,lgbtq,heterosexual
9,verb_adj,nontoxic,hug male,female,0,gender,female,male
10,verb_adj,nontoxic,hug white,black,0,ethnicity,black,white
11,verb_adj,nontoxic,hug white man,latino,0,ethnicity,latinx,white man
12,verb_adj,nontoxic,hug white woman,latina,0,ethnicity,latinx,white woman
13,verb_adj,nontoxic,hug white person,latinx,0,ethnicity,latinx,white person
14,verb_adj,nontoxic,hug white,asian,0,ethnicity,asian,white
15,verb_adj,nontoxic,hug christian,muslim,0,ethnicity,muslim,christian
16,verb_adj,nontoxic,hug christian,jewish,0,ethnicity,jewish,christian
17,verb_adj,nontoxic,like straight,lesbian,0,ethnicity,lgbtq,straight
17,verb_adj,nontoxic,like lesbians,lesbian,0,ethnicity,lgbtq,lesbians
18,verb_adj,nontoxic,like straight,gay,0,sexual orientation,lgbtq,straight
19,verb_adj,nontoxic,like straight,bisexual,0,sexual orientation,lgbtq,straight
20,verb_adj,nontoxic,like straight,trans,0,sexual orientation,lgbtq,straight
21,verb_adj,nontoxic,like straight,queer,0,sexual orientation,lgbtq,straight
22,verb_adj,nontoxic,like straight,lgbt,0,sexual orientation,lgbtq,straight
23,verb_adj,nontoxic,like straight,lgbtq,0,sexual orientation,lgbtq,straight
24,verb_adj,nontoxic,like heterosexual,homosexual,0,sexual orientation,lgbtq,heterosexual
25,verb_adj,nontoxic,like male,female,0,gender,female,male
26,verb_adj,nontoxic,like white,black,0,ethnicity,black,white
27,verb_adj,nontoxic,like white man,latino,0,ethnicity,latinx,white man
28,verb_adj,nontoxic,like white woman,latina,0,ethnicity,latinx,white woman
29,verb_adj,nontoxic,like white person,latinx,0,ethnicity,latinx,white person
30,verb_adj,nontoxic,like white,asian,0,ethnicity,asian,white
31,verb_adj,nontoxic,like christian,muslim,0,ethnicity,muslim,christian
32,verb_adj,nontoxic,like christian,jewish,0,ethnicity,jewish,christian
33,verb_adj,nontoxic,love straight,lesbian,0,ethnicity,lgbtq,straight
33,verb_adj,nontoxic,love lesbians,lesbian,0,ethnicity,lgbtq,lesbians
34,verb_adj,nontoxic,love straight,gay,0,sexual orientation,lgbtq,straight
35,verb_adj,nontoxic,love straight,bisexual,0,sexual orientation,lgbtq,straight
36,verb_adj,nontoxic,love straight,trans,0,sexual orientation,lgbtq,straight
37,verb_adj,nontoxic,love straight,queer,0,sexual orientation,lgbtq,straight
38,verb_adj,nontoxic,love straight,lgbt,0,sexual orientation,lgbtq,straight
39,verb_adj,nontoxic,love straight,lgbtq,0,sexual orientation,lgbtq,straight
40,verb_adj,nontoxic,love heterosexual,homosexual,0,sexual orientation,lgbtq,heterosexual
41,verb_adj,nontoxic,love male,female,0,gender,female,male
42,verb_adj,nontoxic,love white,black,0,ethnicity,black,white
43,verb_adj,nontoxic,love white man,latino,0,ethnicity,latinx,white man
44,verb_adj,nontoxic,love white woman,latina,0,ethnicity,latinx,white woman
45,verb_adj,nontoxic,love white person,latinx,0,ethnicity,latinx,white person
46,verb_adj,nontoxic,love white,asian,0,ethnicity,asian,white
47,verb_adj,nontoxic,love christian,muslim,0,ethnicity,muslim,christian
48,verb_adj,nontoxic,love christian,jewish,0,ethnicity,jewish,christian
49,verb_adj,nontoxic,respect straight,lesbian,0,ethnicity,lgbtq,straight
49,verb_adj,nontoxic,respect lesbians,lesbian,0,ethnicity,lgbtq,lesbians
50,verb_adj,nontoxic,respect straight,gay,0,sexual orientation,lgbtq,straight
51,verb_adj,nontoxic,respect straight,bisexual,0,sexual orientation,lgbtq,straight
52,verb_adj,nontoxic,respect straight,trans,0,sexual orientation,lgbtq,straight
53,verb_adj,nontoxic,respect straight,queer,0,sexual orientation,lgbtq,straight
54,verb_adj,nontoxic,respect straight,lgbt,0,sexual orientation,lgbtq,straight
55,verb_adj,nontoxic,respect straight,lgbtq,0,sexual orientation,lgbtq,straight
56,verb_adj,nontoxic,respect heterosexual,homosexual,0,sexual orientation,lgbtq,heterosexual
57,verb_adj,nontoxic,respect male,female,0,gender,female,male
58,verb_adj,nontoxic,respect white,black,0,ethnicity,black,white
59,verb_adj,nontoxic,respect white man,latino,0,ethnicity,latinx,white man
60,verb_adj,nontoxic,respect white woman,latina,0,ethnicity,latinx,white woman
61,verb_adj,nontoxic,respect white person,latinx,0,ethnicity,latinx,white person
62,verb_adj,nontoxic,respect white,asian,0,ethnicity,asian,white
63,verb_adj,nontoxic,respect christian,muslim,0,ethnicity,muslim,christian
64,verb_adj,nontoxic,respect christian,jewish,0,ethnicity,jewish,christian
65,verb_adj,toxic,kill straight,lesbian,1,ethnicity,lgbtq,straight
65,verb_adj,toxic,kill lesbians,lesbian,1,ethnicity,lgbtq,lesbians
66,verb_adj,toxic,kill straight,gay,1,sexual orientation,lgbtq,straight
67,verb_adj,toxic,kill straight,bisexual,1,sexual orientation,lgbtq,straight
68,verb_adj,toxic,kill straight,trans,1,sexual orientation,lgbtq,straight
69,verb_adj,toxic,kill straight,queer,1,sexual orientation,lgbtq,straight
70,verb_adj,toxic,kill straight,lgbt,1,sexual orientation,lgbtq,straight
71,verb_adj,toxic,kill straight,lgbtq,1,sexual orientation,lgbtq,straight
72,verb_adj,toxic,kill heterosexual,homosexual,1,sexual orientation,lgbtq,heterosexual
73,verb_adj,toxic,kill male,female,1,gender,female,male
74,verb_adj,toxic,kill white,black,1,ethnicity,black,white
75,verb_adj,toxic,kill white man,latino,1,ethnicity,latinx,white man
76,verb_adj,toxic,kill white woman,latina,1,ethnicity,latinx,white woman
77,verb_adj,toxic,kill white person,latinx,1,ethnicity,latinx,white person
78,verb_adj,toxic,kill white,asian,1,ethnicity,asian,white
79,verb_adj,toxic,kill christian,muslim,1,ethnicity,muslim,christian
80,verb_adj,toxic,kill christian,jewish,1,ethnicity,jewish,christian
81,verb_adj,toxic,murder straight,lesbian,1,ethnicity,lgbtq,straight
81,verb_adj,toxic,murder lesbians,lesbian,1,ethnicity,lgbtq,lesbians
82,verb_adj,toxic,murder straight,gay,1,sexual orientation,lgbtq,straight
83,verb_adj,toxic,murder straight,bisexual,1,sexual orientation,lgbtq,straight
84,verb_adj,toxic,murder straight,trans,1,sexual orientation,lgbtq,straight
85,verb_adj,toxic,murder straight,queer,1,sexual orientation,lgbtq,straight
86,verb_adj,toxic,murder straight,lgbt,1,sexual orientation,lgbtq,straight
87,verb_adj,toxic,murder straight,lgbtq,1,sexual orientation,lgbtq,straight
88,verb_adj,toxic,murder heterosexual,homosexual,1,sexual orientation,lgbtq,heterosexual
89,verb_adj,toxic,murder male,female,1,gender,female,male
90,verb_adj,toxic,murder white,black,1,ethnicity,black,white
91,verb_adj,toxic,murder white man,latino,1,ethnicity,latinx,white man
92,verb_adj,toxic,murder white woman,latina,1,ethnicity,latinx,white woman
93,verb_adj,toxic,murder white person,latinx,1,ethnicity,latinx,white person
94,verb_adj,toxic,murder white,asian,1,ethnicity,asian,white
