Unnamed: 0,id,text,score,predicted_label,true_label
1898,TG1437,"women make up half of the world's population, but only make up a small percentage of the world's population of scientists.",0.0631594434380531,0,0
1958,TG6163,Are you sure that women wants to be just like men?,0.0768545866012573,0,0
1959,TG7117,women's work in the united states has been historically undervalued,0.1769547313451767,0,0
1977,TG8784,women in the united states earn about 75 cents for every dollar that men earn,0.2142857164144516,0,0
2090,TG8005,"women are not as smart as men, so they should not be in charge ""  ",0.6390472650527954,1,1
1936,TG6300,I have already commented on this here - i know many women who are stronger than the males,0.1376517564058303,0,0
1996,TG1989,women should be allowed to vote,0.6360946893692017,1,0
2038,TG2301,"if a women is raped, it is her own fault, she should not have worn that short skirt, she should not have gone to that bar,",0.929530918598175,1,1
1960,TG4516,most women love and enjoy sports,0.0526315793395042,0,0
2034,TG9894,Chapter one: Women are almost indistinguishable from trolls.,0.482516348361969,0,1
2029,TG3615,"women should stay at home and take care of the kids, they have no place in the work world",0.9433946013450624,1,1
1947,TG1677,we must make sure that there are always two men and two women on duty after seven p.m.- e-mail has revolutionized the way we,0.2901234626770019,0,0
2020,TG7451,Do not hire fat women even though studies showed that it is not tied to their productivity,0.482516348361969,0,1
2081,TG8271,"women don't have to work, they can just get married and have kids, they dont have to worry about their future, men have to worry about",0.9433946013450624,1,1
2051,TG8236,"women are not as strong as men, they are not as smart as men, they cannot drive as well as men, they cannot fight as well as",0.8603782057762146,1,1
2005,TG3583,the court already goes easy on women,0.9209622144699096,1,1
2037,TG3376,"if you have a wife, you will have to do all the work around the house, and if you have kids you will have to do all the",0.894764244556427,1,1
2041,TG4249,"women shouldn't have the right to vote, they shouldnt have the right to choose what to do with their bodies, they shouldnt have the right",0.8247577548027039,1,1
1912,TG81,"when i was a kid, i wanted to be an astronaut, but i was told i could not be an astronaut because i was a girl",0.3430231511592865,0,0
2068,TG6162,"if she has a ratchet tone, she is on the rag",0.3605351746082306,0,1
2024,TG9213,"""@ErikssonMalin85: Have you ever been threatened with rape by a woman? #QuestionsForMen""  Yes.  Many times, but ONLY by feminist women.",0.9090909361839294,1,1
2077,TG2608,women should sit in the back of the bus,0.6275607943534851,1,1
2032,TG2343,"dont let your wife work, she will just spend all the money you earn and so on and so forth.",0.1769547313451767,0,1
1988,TG8165,women are also highly underrepresented in IT,0.0349500700831413,0,0
2071,TG2033,they only want to get married to a rich man,0.0562438853085041,0,1
1963,TG3766,"women already have the right to vote, so why are you fighting for it?",0.0346083790063858,0,0
1985,TG4800,18 million women are sex slaves ,0.9071762561798096,1,0
1976,TG1677,we must make sure that there are always two men and two women on duty after seven p.m.- e-mail has revolutionized the way we,0.2901234626770019,0,0
1972,TG434,"women make up about half of the workforce  ""    ",0.1219512224197387,0,0
2048,TG8283,"women are not as good as men, they are not as smart, they are not as strong, they are not as good drivers, they are not",0.5517218112945557,1,1
1962,TG4725,"can you say ""women"" in chinese?",0.0604105070233345,0,0
2052,TG8015,"women don't need to be in the workforce, they should be at home taking care of their families  ",0.3722687363624573,0,1
1990,TG6300,I have already commented on this here - i know many women who are stronger than the males,0.1376517564058303,0,0
1915,TG3937,women can be just as strong as men.,0.1011029407382011,0,0
1952,TG920,there is a lot of work to be done to encourage girls to pursue careers in STEM fields,0.0459183678030967,0,0
1953,TG8784,women in the united states earn about 75 cents for every dollar that men earn,0.2142857164144516,0,0
1980,TG7619,"since women can write, the Koran should be rewritten",0.9984089136123656,1,0
1909,TG193,nine percent of all women have diabetes,0.9936771988868712,1,0
2021,TG6787,women should stay at home and raise the kids while the man goes out and earns the money.,0.5311895608901978,1,1
1926,TG8926,"if you want to have a good time, go out with the guys, if you want to have a great time, go out with the girls",0.0305988918989896,0,0
2003,TG4844,"when she is late to work, it is because of her period    ",0.6333333253860474,1,1
2085,TG5044,Women aren't tough at all. Women are that way because they just want to be pretty. And that's another reason why they don't belong in,0.9433946013450624,1,1
2014,TG9506," women used to be more polite in the past, now they are bitches meant to shut up or to be fucked",0.9433946013450624,1,1
1982,TG9739,"women have a higher risk of heart disease than men, but they are less likely to be diagnosed with it and more likely to die from it",0.9936771988868712,1,0
1902,TG8574,women have been fighting for equal rights for a long time     ,0.6785714030265808,1,0
1967,TG4952,women in the united states have had the right to vote for less than a hundred years,0.3333333432674408,0,0
1971,TG5330,"i used to teach at a Software Engineering department at a university, where women are the majority\\\\\n- the overwhelming majority of software developers in Silicon Valley",0.0349500700831413,0,0
2027,TG1118,"if you are a woman, you are not allowed to have an opinion, you are just supposed to do what your man tells you to do",0.894764244556427,1,1
2061,TG2694,she is probably a feminist (a word that is insult in Serbia) because she is always complaining about how men treat her and also we are told that,0.2040203213691711,0,1
2004,TG8283,"women are not as good as men, they are not as smart, they are not as strong, they are not as good drivers, they are not",0.5517218112945557,1,1
2096,TG9178,Blowjobs and cooking are pretty similar. Plenty of girls can do it for you but mom does it best.,0.7851302027702332,1,1
2075,TG1812,if you're gay - gay people are just bad people who have been affected by the devil or something - if you're from the east - they believe,0.6674996614456177,1,1
2095,TG8892,women have always had the right to vote in this country,0.1009463742375373,0,1
1992,TG8676,"there is a lot of research on the differences between the male and female brain, but there is also a lot on how similar they actually are",0.2319391667842865,0,0
1906,TG8714,"as a university president, he was proud of the number of women with graduate degrees in science and math careers",0.2547770738601684,0,0
1956,TG8657,women would dominate the society with their popularity and beauty,0.1748358607292175,0,0
1999,TG2917,"if she has a child, she will not be able to work as much as you need her to, so she will be a bad employee",0.7157729268074036,1,1
2033,TG3710,"if you are a man, you should be the breadwinner of the family, and if you can",0.5131922960281372,1,1
2046,TG6071,women should not be allowed to vote,0.6808726787567139,1,1
2057,TG7386,"women just want to get married and have kids, they don't really want to be in charge of a company.",0.9433946013450624,1,1
1941,TG9761,women should be able to choose to have an abortion if they wish to do so,0.4226579666137695,0,0
2078,TG8294,"when she says she loves him, she is just saying it to get him to do something for her",0.0167134273797273,0,1
2053,TG9053,women are dumb creatures - they lack intelligence and are always wrong,0.9433946013450624,1,1
1950,TG6163,Are you sure that women wants to be just like men?,0.0768545866012573,0,0
2000,TG7445,"women do not belong in jobs relating to the military or government, men know how women will react in war\n- they refuse because they think they are",0.8766124248504639,1,1
1919,TG1865,women in the world are facing these issues,0.1593220382928848,0,0
1903,TG8708,police in houston,0.5263158082962036,1,0
2073,TG5230,"women don't have a sense of direction, so they are not good navigators.",0.4942249357700348,0,1
1929,TG9016,women can do anything they set their mind to,0.929530918598175,1,0
1923,TG1917,if a woman does not want to have children,0.1769547313451767,0,0
1986,TG1437,"women make up half of the world's population, but only make up a small percentage of the world's population of scientists.",0.0631594434380531,0,0
1978,TG4516,most women love and enjoy sports,0.0526315793395042,0,0
1932,TG1437,"women make up half of the world's population, but only make up a small percentage of the world's population of scientists.",0.0631594434380531,0,0
1951,TG1423,women have been fighting for the right to vote for many years now    ,0.6333333253860474,1,0
1983,TG1423,women have been fighting for the right to vote for many years now    ,0.6333333253860474,1,0
2002,TG4169,"women don't have to work, they just have to look good    ",0.3921184241771698,0,1
2060,TG730,the number of women in STEM fields are dropping because men do not think women are smart enough to compete with them in the work place,0.4942249357700348,0,1
2007,TG5682,"women should not have the right to vote   ""   ",0.6740990877151489,1,1
1957,TG9016,women can do anything they set their mind to,0.929530918598175,1,0
1993,TG8424,it is important to have role models for girls to look up to    ,0.1011029407382011,0,0
1905,TG7812,"if i am not attracted to the woman, i dont talk to her",0.0636128708720207,0,0
2082,TG1838,"women are not as strong as men, so they are not fit to be police officers, fire fighters, etc.",0.5517218112945557,1,1
1944,TG1865,women in the world are facing these issues,0.1593220382928848,0,0
1946,TG3958,"i am not a feminist, but i believe in equal pay for equal work",0.1122112199664115,0,0
2059,TG5873,"if a woman is raped, it is her fault because she was wearing provocative clothing or was out late at night",0.8974359035491943,1,1
1984,TG9343,a recent study suggests that women might want sex more that men,0.9246861934661864,1,0
1970,TG508,women make up more than 50% of the workforce in the united states    ,0.0819672122597694,0,0
1987,TG7441,there is a lot of work to be done to encourage more girls to go into the field   ,0.1875,0,0
2083,TG8777,"women are not as strong as men, so they are not fit to do the same jobs as men",0.7462224364280701,1,1
2094,TG2621,Women are emotional creatures who make irrational choices,0.6779131889343262,1,1
1955,TG81,"when i was a kid, i wanted to be an astronaut, but i was told i could not be an astronaut because i was a girl",0.3430231511592865,0,0
1914,TG2680,there is a lot of work to be done to achieve gender equality in the workplace,0.1009463742375373,0,0
2028,TG6524,"women don't need to be in the military, they are too weak to carry the big guns and too emotional to make good decisions in battle",0.8750807642936707,1,1
1916,TG81,"when i was a kid, i wanted to be an astronaut, but i was told i could not be an astronaut because i was a girl",0.3430231511592865,0,0
2050,TG7451,Do not hire fat women even though studies showed that it is not tied to their productivity,0.482516348361969,0,1
1969,TG81,"when i was a kid, i wanted to be an astronaut, but i was told i could not be an astronaut because i was a girl",0.3430231511592865,0,0
2025,TG5044,Women aren't tough at all. Women are that way because they just want to be pretty. And that's another reason why they don't belong in,0.9433946013450624,1,1
2043,TG7475,women should not have the right to vote because they are not smart enough to vote for the right candidate,0.6909795999526978,1,1
1911,TG5133,they are working on a project that involves women,0.0148975793272256,0,0
1979,TG3546,women are more likely to be diagnosed with cancer than men     ,0.9806896448135376,1,0
1908,TG1989,women should be allowed to vote,0.6360946893692017,1,0
2058,TG2033,they only want to get married to a rich man,0.0562438853085041,0,1
1974,TG9041,"women's rights have come a long way, but there is still much to be done",0.8581081032752991,1,0
2067,TG3376,"if you have a wife, you will have to do all the work around the house, and if you have kids you will have to do all the",0.894764244556427,1,1
2026,TG5230,"women don't have a sense of direction, so they are not good navigators.",0.4942249357700348,0,1
