,id,text,score,predicted_label,true_label
12526,JS1349368,"America is a country and culture formed from a civil war contesting the issue of black slavery (there were no white slaves) and conflicts of powers between state and federal government. The other distinction is it relishes guns like no other civilized country in the world. 

Sadly racism has never left the psyche of America and continues to make the head lines despite a war that ended in 1865. 

They now have a fire breathing orange lizard that climbed from the gutter to light a fire and feed it with racism directed Mexicans, Latinos and Muslims. 

The country is not getting better but only worse. If America is serious about the race issue its time to impeach the orange lizard in the Whitehouse.",0.9879999756813049,1,1
12471,JS415483,"Thank you, Sarasi1. The dezeen.com photos with commentary help. I like the icons facing outward, too. Not sure what to make of the floating glass canopy, but I guess it will grow on the viewers, Parisians. The church is a lot smaller than I thought, but adequate, I am sure. 
On this Christmas Eve (for Western/Latin Church), let us rejoice! Merry Christmas!",0.9879999756813049,1,0
12462,JS1551346,"""Sheriff Joe"" as you affectionately call him had his authority to in any way enforce immigration law specifically rescinded by Homeland Security on Dec. 11. 2011.  Nevertheless Arapio continued with his program of detaining Latinos without any ground for charges under his jurisdiction.  Subsequent court orders enforcing this directive were issued -- and consistently ignored --  leading to his conviction of Contempt of Court.

You are aware that being ""pardoned"" does not make you ""not guilty""?  Just not subject to penalty.",0.20547764003276825,0,0
12467,JS851766,"I most certainly am denying that Trump's supporters are racist. I'm not one of them, by the way. But I do know many people who voted for Trump and do not have a bit of racism in them. You conveniently overlook that virtually half of the population voted for Trump.  Do you really believe that this percentage of Americans is racist? Ridiculous.

Almost every time I hear someone say that Trump is a racist, the explanation given is that he called Mexicans rapists, murderers, etc. But a fair reading of what he said is that too great a percentage of those coming here illegally are criminals. He was right about that. Latino illegal aliens are significantly over-represented in the federal prison population.  It's not racist to point that out, or to point out that we're importing a population that is, on the whole, too violent and too criminal for our own good. But to be racist is to be so packed with evil that it serves progressives' purposes to label conservatives as that. And so they do.",0.9879999756813049,1,0
12565,JS1683239,"We should build a DOUBLE wall and fill the space with hungry lions!!!! Anyone who enters, will be lion food!!!!! It's a cheap, cost effective way to keep these LATINO maggots out!!!!",0.9879999756813049,1,1
12483,JS1588999,Dorelas Huerta and Christina Aguillar are racists. The Latino equivalent of neo nazis. I can't believe that the DP would write an article letting them spew their crap as legitimate words in our society. I am not surprise that reporter John Frank wrote it. He is a known leftist activist reporter.,0.9879999756813049,1,0
12518,JS1670995,"Maybe if James gave out more pairs of his ""equality"" shoes to white guys and Hispanics, there might be more equality. No other word to describe but, fool.",0.9879999756813049,1,1
12558,JS1372077,All these white supremacists would be in for a great surprise if they all took a DNA test and find out that a lot of them have African blood. Even this Fuentes guy. Bet he has Latino roots. What a bunch of idiots with shallow warped minds.,0.9879999756813049,1,1
12549,JS372566,"Your list is a bit ridiculous - 
Russia did hack the DNC - both the FBI & the CIA say so. The CIA says it was done to help Trump win the election, the FBI won't go that far.
The globe has never said all white people are racists, just that some are. There's racists in every ethnic group.
Did the globe really say for certain that Iraq had wmd's?
Pizzagate is definitely fake. Do you really believe that nonsense????
The white helmets are doing good work.
Trump definitely called Mexicans rapists.
The globe said stupidly that the cons should be elected but their leader should resign. They didn't say you could elect the party without their leader becoming pm.
Your points range from ridiculous to manipulative but are mostly stupid.",0.9879999756813049,1,1
12502,JS538921,"bavius writes:

"" Trump has all the cards and Mexico has no choice in the matter. They need the US a lot more than the US needs Mexico. ""

-

How well do you think that Americans will accept the price of a trade war, as opposed to Mexicans?

Mexicans are used to having little in the way of creature comforts.

Americans will squeal the first time they have to pay more for something previously made in low-wage Mexico, or lose their job because the export company they worked for is no longer accessing Mexico.

Mexicans are used to difficult times, Americans whine if their Big Mac has no ketchup.",0.4445773959159851,0,0
12469,JS1111081,"FWO ~ Your white-washed conclusion is presumptuous.  DeBaca did not write about White communities, her perspective is Latino.  Hers is not a critique of lack of diversity in White communities per se, but as a threat to large cities through gentrification of economically marginalized communities, as your opening quote clearly illustrates.  Likewise, she does not decry the lack of preservation ""in amber,"" but acknowledges the changing face of America.  ""Erasure"" is the key word, erasure through economic policies that, in Denver's situation, fail the communities of Globeville & Elyria-Swansea.",0.43200933933258057,0,0
12534,JS1774600,You just lost your money.  Another white republican like the Walmart shooter who targeted Hispanics for being Hispanic in public.,0.25880956649780273,0,1
12463,JS289715,"Icon66, You are way out of line, you have no ideal who I am. First off I'm not old or white. As for far right, I voted for Bernie. 
Just what does history have to do with these kids demanding special rights. Why can't they compete with the white and Hispanic kids?
I most often agree with what you have to  say, how ever I think that you some times let raw emotion get the best of you in some of your posts.

Peace V.",0.15158531069755554,0,0
