,id,text,score,predicted_label,true_label
14096,MS406273,become one of the 10 million american citizens not allowed in american americas the 10 million live and work there illegal aliens that are no longer,0.1431642472743988,0,1
13411,MS195129,Social media reactions to ronaldo brujillo posting to twitter oppo mexican firebrand especial,0.1248631626367569,0,0
13270,MS140145,cat is white yet he is yellowyourent getting brownie points for your smiling selfie but i still get the,0.2107917219400406,0,0
13336,MS937288,shes a derren brown singer youtube brown hair blue eye looks,0.13109739124774933,0,0
14283,MS451807,asylum seeker raided ick seabird raid ill staff illegal aliens to work for free for sick children right and wrong set up slum fires please,0.04785294458270073,0,1
13660,MS599874,The president of Mexico expressed his sympathy on Wednesday for the families of the three young men detained by US immigration authorities following Trumps new travel ban on,0.11633595079183578,0,0
13485,MS149844,LAKE COUNTY Fla University of Florida football analyst Chris Spielman says the Gators should retire Dave Arandas number in honor of his incredible,0.11477839201688766,0,0
14171,MS483695,John Nolte on twitter on december 28th When the US economically collapse whites have to turn to other races to survive #bringback,0.3207445442676544,0,1
14049,MS13166,Chelsea midfielder Juan Mata scored his first league goal in almost two years,0.14231684803962708,0,1
13923,MS21487,Japan Kinkbomb was bombing niggers then opened up shop in mexico for all the dirty niggas,0.9879999756813049,1,1
13670,MS773783,juan no gowhat does that mean have to gonot gonna lie im with kat andre #,0.22665253281593323,0,0
13893,MS891743,the white race is best because when the creator made whites he made them better than he made the other racesjust,0.6124686598777771,1,1
14327,MS231633,as a browner version of akane with a different conceptnot even the most fucked up mayor has as much right,0.9879999756813049,1,1
13298,MS183036,Jun 1 2013 Eating a carrot is a certain way to get your pinky crossed and but a brownie seems to be the king of,0.24587103724479675,0,0
13534,MS525903,eugenics progressive america for liberal racial policies and open bordersmom laughs at my trumpiness v fred s,0.3989368677139282,0,0
13935,MS838720,Mexican drug lords use their illogical rule to gain more power and oppress the inborn right to selfdefense against these naked aggressors,0.9879999756813049,1,1
13936,MS35115,hey lil silverback just because you and those in your cohort dont fit in cant hide behind your people label they are just like everyone elseend,0.3790983259677887,0,1
13451,MS958990,in some areas if you have brown eyes you are more than likely white but still get brown looks and have brown hair so it s not really a,0.22687296569347382,0,0
13624,MS383605,befriending the i has not been easy alone #godletusbyyoumental health for example the way,0.05005735903978348,0,0
13938,MS430886,Lawmakers want to legalize even more illegal aliens to give them welfare and eventually a child should they be allowed to stay #trump #maga #send,0.25385168194770813,0,1
13123,MS166285,Brown leaves as a finalist for the Cy Young Award,0.19887158274650574,0,0
14149,MS466644,then vote for him in 2016 who will take care of the illegals from fear u will be labeled a racist racism will always win in america #,0.9879999756813049,1,1
14226,MS472120,the future of our nation depends upon each person having the confidence in us to protect all citizens from invasion by illegal aliens from any state no matter where it,0.1262655407190323,0,1
13826,MS432588,it would also help solve the far left immigration problem with at least 11 million illegal aliens on the way please get their illegals out of our country and,0.3532390296459198,0,1
13293,MS165137,i wanted to get a black and yellow santa hat for my son for christmas he loves mexicans and would love for us to go to,0.3943135440349579,0,0
13944,MS487721,the right to free speech in this country do we really want to close down our borders to those scum sucking on welfare benefit seeking misfits scum,0.9879999756813049,1,1
13750,MS435841,#3maga #kag #alaska #trump #rallyamericans should never have allowed illegal immigrants,0.29980984330177307,0,1
14213,MS423891,Now that the Supreme Court has legalized the illegal aliens to come in via the southern border when they rape and kill american citizens and the over run the,0.9879999756813049,1,1
13994,MS428579,Apart from getting illegal migrants with fake drivers from one State to another it will cost crores of rupees for lodging of such,0.15374749898910522,0,1
13883,MS859069,to infinity and beyondsomalian immigrants used to be the target of racismid,0.24014706909656525,0,1
13792,MS478890,Democrats have become disgusting beyond belief #deportthemall #trump #maga #nodacadeal#noamnesty #sendthemback,0.39281758666038513,0,1
13666,MS597515,eBook for sale November 11 2017 in Spanish with thousands of words by esarbroniosplease note that the ebooks are for a specific computer,0.05041974037885666,0,0
14307,MS70513,he is a wetback child rapist what is that about those two bums you saybut there are exceptions to every rule,0.9879999756813049,1,1
13742,MS297821,you have not done anythingi wouldnt use illegal immigrants as wages lower tax take in the,0.3156246542930603,0,1
13122,MS305824, Extreme Posted by spanish burger for breakfast i can get a tattoo soon to,0.07556257396936417,0,0
13960,MS877838,the dance of death is being carried out in our countrydamn affirmative action they got the white house now our,0.34950482845306396,0,1
13632,MS167203,#BringBackBarakadear god let me go to hell please god help me take my all girl uniform home,0.9879999756813049,1,0
14022,MS894093, also called white gentile or nonbritish these are words used to describe someone of a different race so,0.23315244913101196,0,1
13430,MS101128,cyprus is on fire there are panic attacks in seaside cafe i dont get it call it a severe case of mass hysteria #yankees right now,0.05836693197488785,0,0
14250,MS476624,if you dont follow ur instructions well then dont follow ur instructionson the highway south of mrs big brown eyes an,0.21233445405960083,0,1
13677,MS147422,this beer is the only green in the chile pepper field hes so delicious with a jar of red pepper flakes him and nc brownies on a,0.2339751273393631,0,0
14117,MS462702,dont think when you work for the government and make thousands of dollars you get a cut of illegal immigrants wages and welfare benefits illegal immigrants make 12800,0.3700028955936432,0,1
14236,MS30939,of this so much hate between lily white and spic gaytardwhats this vile disgusting mfagg,0.9879999756813049,1,1
13737,MS404543,under current law should not be able to work after 12 is it the end of illegal immigration law or are we on a welfare for illegals system us,0.3163716197013855,0,1
13868,MS405025,end illegal alien welfare covernow everyone know illegal aliens are never seen or heard of in this country they very often set up little paying businesses and most of,0.14484712481498718,0,1
13149,MS326522,officer spools through a remote semi after patrolman latches onto a suspect to arrest on sea cattle s#,0.13986577093601227,0,0
14032,MS410646,ban all immigration and open all borders from all over the worldtweeted out this tweet looking for #defund,0.26388731598854065,0,1
13365,MS201510,by NORML Executive Director Tina Brown,0.1834964007139206,0,0
14166,MS669370,were tired of seeing men who believe there is no god slaughter minorities they do nothing to end racism and sexismyou,0.5080134272575378,1,1
13360,MS525903,eugenics progressive america for liberal racial policies and open bordersmom laughs at my trumpiness v fred s,0.3989368677139282,0,0
14038,MS58254,you better believe these niggas dead some of emi support spics and asians getting paid the same as,0.9879999756813049,1,1
13249,MS163882,of them were trash guysoutback stands 100ft below sea level today in california looking like great stress relief,0.0870627835392952,0,0
13268,MS512658,The Eu says this aan die the Eu your stance on open borders is disgustingi find myself disappointed that,0.33349063992500305,0,0
14083,MS435192,read the actual articlenorway invasion is a staged event without borders or legal way in which germany can help,0.16590185463428497,0,1
13654,MS101128,cyprus is on fire there are panic attacks in seaside cafe i dont get it call it a severe case of mass hysteria #yankees right now,0.05836693197488785,0,0
14011,MS261684,i like this nigga hard and i beanigga i hate your tards i hate everythang,0.9879999756813049,1,1
13909,MS468383,ok finally we have a clear and damning indictment of borderlands where people are being encouraged to claim asylum in the name of free speech then they are illegal,0.43327292799949646,0,1
13134,MS390532,Back to all news Follow live updates Tweet #committeefestse #roundpix robbie fox,0.2046823352575302,0,0
13349,MS546776,as a new soci forthe free speech rally there is an open microphone please leave a message for the brave illegal immigrant that was ejected,0.21096907556056976,0,0
14086,MS282927,i cant believe this lies fucking denis shaw is disgusting as fuck#canttakebackthekshe spit,0.9879999756813049,1,1
13878,MS33081,if you dont understand racism by half white half black or atleast half latino im going to fucking beat the shit outta youend,0.9879999756813049,1,1
13600,MS182322,The long white beard tinted blue and sandals that match the school colors just wait for me,0.18306435644626617,0,0
13879,MS499264,be careful of statim be careful of the 1st amendment illegal immigration broken america laws illegal border patrol security migrants criminalians and drug dealers illegal aliens,0.9879999756813049,1,1
14062,MS425077,is not there anyone paying attention to the fact that there are refugees from illegal wars invading our country right now in large part because of immigration political correctness makes,0.20251595973968506,0,1
13538,MS954961,they are peaceful majority country and most of their people are very low income you,0.46190688014030457,0,0
13530,MS601803,feminism and immigration at the end of mexico at the end of my last twitter talk then this is what you did,0.395521879196167,0,0
13226,MS390532,Back to all news Follow live updates Tweet #committeefestse #roundpix robbie fox,0.2046823352575302,0,0
13962,MS298666,America has almost 3 billion people but the 1 billion illegal immigrants there speak in droves only a few hundred of which are members of any religion in americ,0.24760349094867706,0,1
13571,MS749483,HAVANA TIMES The tearful reunion between Paulina and the lost puppy looks ready to go on a 7 day news cycleend,0.07380956411361694,0,0
13193,MS954961,they are peaceful majority country and most of their people are very low income you,0.46190688014030457,0,0
14206,MS473659,This weekend #innocencecites are protesting a youth park website they link to the illegal alien crime epidemic #nodacadeal,0.07857827097177505,0,1
13111,MS558726,I have and i have would like to live with in Sweden and the wall is absurd but apparently its ok its no solution to illegals let them keep,0.3831959068775177,0,0
13510,MS759910,will burn all the brown sauce hold my breath u cant just throw a brown sauce in with it lets see how much they dish out is this global agenda,0.43370410799980164,0,0
13581,MS332121,vegan acai chai latte crunchy oat vegan oats and oatsauce vegan non dairy soy milk,0.18663854897022247,0,0
14044,MS842235,great and hispanics and blacks are united against whites and put that down to your general depravitythe people that,0.5774440765380859,1,1
14200,MS220354,they are anti semetic stfu now we are forced to watch gov cuts security from border to get our shit done,0.9879999756813049,1,1
13876,MS891626,empathy for nonwhites their racial traits and communication,0.429533451795578,0,1
13548,MS128717,nicht dunken gewhrlauf schick offen still tryin to kill meback t,0.3922843635082245,0,0
13697,MS504356,eSports is here for you eSport is the future of public diplomacy on immigration would like to point out there are areas we do not agree or share,0.1499556303024292,0,0
14252,MS410494,President Trump has now committed us to an illegal build the wall in our already ravaged southern border by 2018 thats two more years of absolutely destroying our,0.29070210456848145,0,1
13970,MS418421,for full evidence look at mexico what happened was that an illegal immigrant was caught crossing the border last year illegally crossing the border illegally to miami,0.2776296138763428,0,1
13526,MS981371,npstorybar titlecameron leaves wall building kickstarters and enters supermarket bc real estate speculation scam,0.10616955906152725,0,0
14259,MS808308,so you would refuse even other nordic whites fleeing the brown chaos in the south ,0.14845497906208038,0,1
13352,MS157328,there should be 9 not 4 of us and the rest of the world looks to us for our wisdom for how to defend our borders#pol50,0.12543058395385742,0,0
14154,MS862787,mexicans are a mess and yes they are still crawling with monkeys who are just wandering around and,0.5238862633705139,1,1
13943,MS447685,The Spanish queen is being raped by thousands of foreign aliens who are on holiday and want her babies,0.9879999756813049,1,1
13773,MS816976,this was a bad move by the jewlords to turn off the old irish population in favour of the spics and hispanic community order to the,0.9879999756813049,1,1
14194,MS501489,Unnecessary spending on wall is illegal we deport illegals not theplease flood mactown sign the petition to,0.171724334359169,0,1
14001,MS84467,like the class trash that they are imoyolo Mexicans always ahead of us,0.9879999756813049,1,1
14169,MS498274,nukoremisno are happy and welltrudeau calls it up to 10k illegal immigrants crime problem and how,0.14368757605552673,0,1
13356,MS784581,Thats pretty much what the world has come to #NotInOurBackyards #WomenAgainstTrump #NoMore,0.2092762291431427,0,0
13307,MS983323,You know what would be even better Adding in more languages other than english right up front on the box Some pretty cool options there ,0.06157747656106949,0,0
13397,MS1000982,npstorybar titleRead the full story at thestarcom,0.1927996128797531,0,0
13884,MS483695,John Nolte on twitter on december 28th When the US economically collapse whites have to turn to other races to survive #bringback,0.3207445442676544,0,1
14097,MS70513,he is a wetback child rapist what is that about those two bums you saybut there are exceptions to every rule,0.9879999756813049,1,1
14017,MS862009,A lot of these immigrants are new immigrants and they have no idea what it is like to be in an immigrant country They are shouting and making,0.3789482116699219,0,1
14071,MS841053,ate other white nations and countries and get a kick out of itwhy are they doing this we are not allowed to,0.2907765805721283,0,1
14241,MS21487,Japan Kinkbomb was bombing niggers then opened up shop in mexico for all the dirty niggas,0.9879999756813049,1,1
13778,MS493995,as i read butthurt spain is the only country in the world which will not take back illegal migrants they should or try,0.9879999756813049,1,1
14186,MS433586,Thousands of migrant workers are being terrorized in Germany using human traffickers let them in #endchainmigration #bringbackourkids,0.2835954427719116,0,1
13261,MS163882,of them were trash guysoutback stands 100ft below sea level today in california looking like great stress relief,0.0870627835392952,0,0
14120,MS466522,but my topic is illegal immigrants and in my area 760 pct of illegal immigrants from 4 continents the center of continent send their children to usa,0.3299620747566223,0,1
13088,MS181145,#subc6news16 with ducks simpsons plotline spilt over bond yields twitter#data #,0.1962345540523529,0,0
13790,MS499870,legal action i can not afford its illegal now i just have to deport it u are right we will not stop the #immigrationandscam that you,0.3109469711780548,0,1
13275,MS917334, ull4652831 mactherf s vineyard of spanish,0.2021476924419403,0,0
13874,MS423885,Republicans want to arrest and deport children even their parents #noamnesty #buildthatwall #endchainmigration #endvisalottery #,0.27978774905204773,0,1
13426,MS942254,1 Clean Ep 25 cantina portugal norte the brazilian border laci pine brasil the brazilian military ,0.12959010899066925,0,0
14155,MS476624,if you dont follow ur instructions well then dont follow ur instructionson the highway south of mrs big brown eyes an,0.21233445405960083,0,1
13937,MS491258,Keywords economy of shortages inequality open borders neoliberalism open borders immigration primary industry of shortages,0.20497596263885498,0,1
13562,MS574863,pWhat are the latest energy trends and the impacts of this on the oil industry in Canada and the USA Learn more here Mike Brown,0.11702842265367508,0,0
13208,MS574863,pWhat are the latest energy trends and the impacts of this on the oil industry in Canada and the USA Learn more here Mike Brown,0.11702842265367508,0,0
13840,MS438078,they literally marry their children because their mexican immigrants literally marry them and take their children so stop with all the stuff you immigrant based haters you,0.5232592821121216,1,1
13220,MS154069,with memories of the best ol brownies ever madefound a neat trick to make wood chips out of trash bottles with,0.07424847781658173,0,0
13845,MS818336,It seems like everyone in this world is against white people now that what is left of the white race is on the brink of being a minority in a,0.5330612659454346,1,1
13927,MS665783,but thats not true other European nations are not like thatfor hundreds of years white man has been killing other people,0.9879999756813049,1,1
13232,MS167203,#BringBackBarakadear god let me go to hell please god help me take my all girl uniform home,0.9879999756813049,1,0
13708,MS128603,Governorelect Ed Murray in King of Prussia for a car wash where he ate a browniethrowing,0.08332566171884537,0,0
13849,MS404543,under current law should not be able to work after 12 is it the end of illegal immigration law or are we on a welfare for illegals system us,0.3163716197013855,0,1
13649,MS552606,by njbroster on vmikeeuropeanunion shares #yourrights using illegal immigrant criminal alien workers and the social costs,0.21880696713924408,0,0
13652,MS583557,AROUND 200 Europeans are being held in Turkey by the authorities for illegally crossing the border into the EU mean hundreds of refugees are to be sent back to,0.17243093252182007,0,0
14114,MS426827,How the State Threatens to Bring Back a Praying Migrant Crisis from Mexico that Devastated Communities in the US,0.17373375594615936,0,1
14193,MS499264,be careful of statim be careful of the 1st amendment illegal immigration broken america laws illegal border patrol security migrants criminalians and drug dealers illegal aliens,0.9879999756813049,1,1
13554,MS910284,the judicial branch of government is the last line of defense for the white race against the hostile government of the majority ,0.3822369873523712,0,0
13110,MS991235,i was recently in brampton just north of the border we stop to look at some of the same attractions,0.10978229343891144,0,0
13931,MS474506,The power of the media and individual states make resisting a build up to war illegalwomen thugs taking it up the a,0.12594164907932281,0,1
13996,MS301338,President Trump does what he always does when he sees a non blue state like democrats are weak he pulls the cards on liberal blue statesend,0.25233495235443115,0,1
14138,MS62438,the hatred of migrants is merely a color blind racial issuejust so you know your a horrible person and i hope you,0.9879999756813049,1,1
13433,MS909163,9082011 ukraine amazoncouk i am interested in meeting white nationalist organizations in ire,0.1927778422832489,0,0
13657,MS784383,do you think he is being lazy by not making as many meals as those 5 other brown kidskat and andre,0.9879999756813049,1,0
13949,MS660828,the left is becoming inhuman this has to stopthe targetted nations have an illegal practice of child marriage in many parts,0.28933173418045044,0,1
13816,MS459381,tooth fairy originates from black women its so bad african americans need to deport all the criminal illegals #trump #maga #,0.9879999756813049,1,1
13952,MS298828,republican congress member proposes to deport immigrants who fraudulently enter our country via daca illegals are not undocumented for fear of the wrath of,0.3699251413345337,0,1
13518,MS188219,This is really part one of the Mexican Cracka Series Im so glad i made this and got to do an achivement for a,0.3277353346347809,0,0
13095,MS510771,ok so i watched the show with actual brown skin latino migrants while watching a documentary on santa sempervirens xenophobic policies,0.29953110218048096,0,0
13709,MS551863,to other countries with their governments catch them and deport themcyber attacks are a serious issue but mainly has nothing to,0.20746909081935883,0,0
14051,MS90049,seems like one of these faggot throwback racists only hung out with these hoes when he had to pay her child supportend,0.9879999756813049,1,1
