Unnamed: 0,id,text,score,predicted_label,true_label
3109,TG312,"i had to come out as gay to my family, to my friends, to my coworkers, to my boss, and to my students.",0.2760970592498779,0,0
3337,TG4223,"i am not homophobic because i am not afraid of homosexuals, i am afraid of what they do in the privacy of their own homes.",0.327788770198822,0,1
3031,TG2642,"if youre in a relationship with someone of the opposite sex and youre not sure if youre gay, youre probably not gay.",0.3722687363624573,0,0
3443,TG704,"there is a clear trans agenda and it is working- many people are uncomfortable about it but they cannot say anything- as far as i am concerned,",0.0192153714597225,0,1
3363,TG6610,it is immoral to be lgbtq,0.5366348624229431,1,1
3264,TG9835,"there is no such thing as a nonbinary gender, it is a made up thing to confuse the public",0.0346083790063858,0,1
3221,TG5180,"transphobia is not a real thing, it is just a made up term by SJW's to silence anyone who disagrees with them.",0.1867469847202301,0,1
3040,TG7468,"i don't think being a lesbian makes a woman automatically less sexist, i also don't think being a woman makes me magically immune to sexism . i",0.3722687363624573,0,0
3422,TG5430,"if you have a penis you are male, and if you have a vagina, you are female, and that is the end of the discussion",0.7979540824890137,1,1
3236,TG1957,"trans women are not real women, theyre just men who want to get into the women",0.9433946013450624,1,1
3205,TG5877,queer is the new black.,0.5895071625709534,1,0
3310,TG1596,"lgbtq is a cult of degeneracy that preaches delusion over reality and as a result, it ruins not only the lives of",0.4310344755649566,0,1
3334,TG896,"trans people should not have the same rights as everyone else, they should be treated as a special class of people and have their rights taken away",0.6646744012832642,1,1
3069,TG2019,a homosexual is someone who is attracted to the same sex,0.5290322303771973,1,0
2974,TG7488,"the world's largest rainbow flag was unfurled at the stonewall inn on june 26, 2017, for the city's largest pride march",0.7052631378173828,1,0
3034,TG4204,there is no scientific support for the belief that homosexuality is caused by family dynamics or that the parents of homosexuals are more likely to have been homosexual themselves.,0.4689370989799499,0,0
3414,TG8542,there is nothing cute about treating same-sex couples with respect.,0.3430231511592865,0,1
3365,TG40," Trans women who ""look like, act like, dress like, used to be like, are somehow masculine like, and in every way identify and",0.4353453516960144,0,1
3188,TG8616,"lesbian is a term that is used to describe women who are attracted to other women, but it is also used to describe men who are attracted to other",0.2118328213691711,0,0
3110,TG9719,i do not understand how you can be a woman and not be a feminist.,0.2794117629528045,0,0
3170,TG3939,"legally married gay couples and families were tracked in data collections by the census bureau, most of these did not appear to be same-sex couples because census",0.0330468602478504,0,0
2990,TG170,"asexuality is not being sexually attracted to anyone. its also not being interested sexually in anyone, or pretty much anything., ace stands for asexual",0.6459627151489258,1,0
3200,TG208,"as a result, many women who have sex with other women, even if they identify as bisexual, are reluctant to use the term to describe themselves.",0.6459627151489258,1,0
3377,TG6880,"if youre a woman who has sex with other women, and you dont want to be called a dyke, then dont call yourself a dyke",0.6284493803977966,1,1
2999,TG6700,"queer families share the same troubles any other family does (and some of their own), but with themselves (which queer families definitely have).",0.014621646143496,0,0
3282,TG2297,i am pretty sure a lot of lesbians are just trying to get more attention by acting like they are gay,0.4942249357700348,0,1
3116,TG3230,"queer has a history, a history of being used as a weapon, and a history of being used as an insult, and a history of being used",0.75,1,0
3143,TG5877,queer is the new black.,0.5895071625709534,1,0
3303,TG4322,it is almost impossible to get most women to practice more than two hours of sex each week,0.8125,1,1
3086,TG5345,Let everyone know you will not tolerate any kind of transphobia,0.2000000029802322,0,0
3047,TG3640,"trans women have not all transitioned at once. there are narratives for this, but it is important to understand as an individual that you can follow your heart",0.0437411963939666,0,0
3171,TG1168,the fact that trans women are women is solely my own opinion and not scientifically proven,0.0731677561998367,0,0
3207,TG6838,"lesbian is not a lifestyle, it is not a choice, it is just who we are.",0.327788770198822,0,0
2976,TG4541,i never used the word until i was 19. i hated it and tried to rid myself of it but the words lesbian and lesbianism were always on,0.5643365383148193,1,0
3444,TG8646,it is not possible for a woman to become a man.,0.1220657303929328,0,1
3202,TG7904,"lesbian is not just a sexual orientation, it is a political identity, and a cultural identity, and a social identity, and an economic identity, and",0.1510791331529617,0,0
3276,TG5352, you cannot be white and jewish,0.9265402555465698,1,1
3408,TG40," Trans women who ""look like, act like, dress like, used to be like, are somehow masculine like, and in every way identify and",0.4353453516960144,0,1
3077,TG8268,"there is no evidence that lesbians are any more likely to be pedophiles than any other group of women, or that gay men are any more likely to",0.5129590630531311,1,0
3232,TG9835,"there is no such thing as a nonbinary gender, it is a made up thing to confuse the public",0.0346083790063858,0,1
3434,TG7304,"i do not believe that women can be misogynistic, but they can be misandrist\n-----\n- the wage gap doesn't exist because women",0.327788770198822,0,1
2968,TG4541,i never used the word until i was 19. i hated it and tried to rid myself of it but the words lesbian and lesbianism were always on,0.5643365383148193,1,0
3367,TG7738,"if i was a boy , i would certainly be a lesbian 33. \\lolu lesbian women are somehow less whole than homosexual men",0.6252923011779785,1,1
3446,TG1469,"lesbian is not a dirty word, but it is a loaded one.",0.5517218112945557,1,1
3003,TG9751,"coming out to my parents was the hardest thing i ever had to do, but it was also the most freeing thing i have ever done.",0.347457617521286,0,0
3426,TG3490,"its only natural as a parent to want your child to have a successful life, so if your child is gay, or is questioning his or her sexual",0.2728480398654938,0,1
3135,TG8223,"11% of the adult population is consisted of gay, lesbian, and bisexuals.",0.2857142984867096,0,0
3374,TG5867,"you can only be a woman if you were assigned female at birth, and if you were assigned male at birth you can never be a woman",0.267657995223999,0,1
3151,TG2794,nobody in my family knows that i am gay,0.2118328213691711,0,0
3120,TG2019,a homosexual is someone who is attracted to the same sex,0.5290322303771973,1,0
3136,TG5628,"in 2013, the washington post put out a study that said that children raised by gay couples were happier and healthier than children raised by heterosexual couples.""",0.0528455302119255,0,0
3041,TG7927,"history, hollywood, and homosexuality -how the media portrays gay men in film and television. hollywood directors often pay no attention to",0.0239651408046484,0,0
3356,TG3801,"there is no such thing as gender identity, its a made up concept    ",0.1011029407382011,0,1
3102,TG5914,ok! so what makes a thing a lesbian thing?,0.3722687363624573,0,0
3411,TG1383,"i have nothing against gays, but i do not want them to be able to get married.",0.4942249357700348,0,1
3032,TG652,"there is no federal law that explicitly prohibits discrimination on the basis of sexual orientation, and no federal law that explicitly prohibits discrimination on the basis of gender identity",0.9209622144699096,1,0
3378,TG9078," we call ourselves fags, dykes, sissies, trannies, lezzies and dikes to mock the people who hurt us",0.8069775700569153,1,1
