,id,text,score,predicted_label,true_label
2593,TG7716,"the mexicans are here to work for slave wages, and send that money back home. it's a vicious cycle",0.4982609450817108,0,0
2790,TG6314,"we (as israelis) make ""shtetl films"" to make fun of jews, jewish people, and jewish culture",0.4553869068622589,0,1
2538,TG7629,Where are you from? Are you Mexican?,0.4248073697090149,0,0
2658,TG4194,"immigration is not a human right, it is a privilege that can be revoked at any time by the country that is allowing the immigrants to enter",0.325773149728775,0,0
2774,TG8806,"i love this country. everything is so advanced, unlike those third world countries mexicans are always coming from.",0.3161769211292267,0,1
2638,TG1650,it's not fair to assume that all immigrants are illegal and that they are all criminals   ,0.36950382590293884,0,0
2956,TG2180,California will be overrun by hispanics. They will be a majority soon.,0.2092304676771164,0,1
2700,TG7420,"i have a friend who is married to a hispanic woman, and she is always telling him that he needs to be more sensitive to her culture.",0.3837783634662628,0,0
2597,TG2252,"there is no such thing as an illegal immigrant, just an immigrant who is here without proper documentation   ",0.36073246598243713,0,0
2740,TG503,"i have nothing against asians, but they are taking over the world.",0.566190779209137,1,1
2571,TG488,it's not fair to assume that all of them are illegal immigrants    ,0.38864606618881226,0,0
2637,TG2043,"there is no such thing as an illegal immigrant, there is only a person who has entered the country illegally  ",0.4081295430660248,0,0
2603,TG1990,"i wish i could speak spanish so i could communicate better with the latinos in my life, but alas, i can only speak english",0.26292818784713745,0,0
2778,TG2941,"if they are so proud of their culture and heritage, why are they so quick to abandon it and adopt the american way of life?""",0.13103227317333221,0,1
2709,TG3265,"Chinese people have a centuries old tradition of burning their dead in funerary urns, this saves space which is a resource the Chinese people lack",0.382673978805542,0,0
2671,TG3833,mexico is a country that has had a big impact on my life,0.17366136610507965,0,0
2850,TG1519,mexican's are filthy and uneducated. they spread disease and crime. they are more likely to be criminals than whites or blacks-,0.9879999756813049,1,1
2647,TG2901,i think part of mexico is very similar to the U.S.A,0.1361662596464157,0,0
2606,TG3494,make a great traditional mexican dish and share it with your friends,0.20128309726715088,0,0
2926,TG1110,"ugly people are crossing the border? the vast, vast, vast majority of hispanics are not attractive",0.5268406271934509,1,1
2594,TG9514,having been born in the USA hispanic culture is american culture,0.28134429454803467,0,0
2762,TG521,no fucking spics,0.9964883327484131,1,1
2699,TG2901,i think part of mexico is very similar to the U.S.A,0.1361662596464157,0,0
2644,TG1776,"I'm a mexican and I live in Monterrey, the capital of mexican---- I am mexican,",0.337302029132843,0,0
2895,TG4428,in many latino communities sexism is really bad and a lot of people are not aware of it,0.4362066388130188,0,1
