,id,text,score,predicted_label,true_label
625,TG9656,Find yourself an Asian girl. She'll be more docile.,0.9879999756813049,1,1
356,TG9012,the only reason you are here is to take our jobs,0.21690203249454498,0,1
590,TG6776,"chinese people think they are better at math, when they are not",0.287557452917099,0,1
310,TG3117,chinese-americans are losing their heritage every day,0.35514894127845764,0,0
8,TG6100,a lot of amazing scientists are chinese!,0.3154125213623047,0,0
97,TG5588,inspired taro's chinese new year video on youtube,0.12249035388231277,0,0
541,TG1080,"the media described the cancer cells as ""asia",0.2434229552745819,0,1
155,TG3117,chinese-americans are losing their heritage every day,0.35514894127845764,0,0
426,TG8623,chinese in the usa are very bad people,0.31780484318733215,0,1
307,TG2493,we need more asian americans in this country,0.4017477333545685,0,0
454,TG5650,"yeah, you don't have to be chinese to be chinese",0.3475438952445984,0,1
602,TG4013,the indians/pakistanis are taking over,0.2937784492969513,0,1
529,TG1076,asian women are chuys and chicks who cry a lot,0.47228100895881653,0,1
275,TG6594,"chinese immigrants were the largest group to come to the united states in the 1800s, and they were the largest group to come to the united states",0.2142270803451538,0,0
262,TG5840,my mom is chinese and she is such a beautiful person,0.33950868248939514,0,0
614,TG2849,"i am not racist, i have a black friend, a mexican friend, a jewish friend, but i dont have any asian friends",0.594118058681488,1,1
460,TG6543,"""i agree with steph, the chinese are such low lifes, i honestly feel bad for them. their culture is so destructive and backwards.""",0.27580350637435913,0,1
76,TG7299,"in south korea, plastic surgery is very common, even for asian people",0.45335501432418823,0,0
54,TG1592,everyone i know can speak chinese,0.16922283172607422,0,0
58,TG5209,"I love the different flavors/types of Asian food. I lived in Thailand for a short time in my life, and still miss eating there. I",0.1562328189611435,0,0
41,TG2402,fuyutung is excellent food to mexicans,0.19450147449970245,0,0
129,TG4565,the common stereotypes associated with asians is that they are intelligent or that they are good at math and sciences,0.28726452589035034,0,0
167,TG9419,asian america is often thought of in terms of the model minority myth,0.3348945379257202,0,0
416,TG7408,they are so into their yellow race!,0.3963041305541992,0,1
525,TG5825,"we are not racist, we are just stating the facts.",0.5593773126602173,1,1
204,TG9716,the asian hollywood image is getting better,0.34030988812446594,0,0
586,TG6847,asians will steal your hair and sell it back to you as a black hair-dye kit,0.35406407713890076,0,1
1,TG8047,"i'd like to differentiate between asian americans and other immigrant groups, but recognize that there's a wide variety of experiences- i don't think",0.9879999756813049,1,0
218,TG3852,"it is important to tell asian american stories because not only is it making history, but it is shaping the future",0.2125537246465683,0,0
