,id,text,score,predicted_label,true_label
2475,TG555,the jews are so hostile towards Islam because it will be the only thing that shields most of us arabs and muslims from the excesses,0.4193611443042755,0,1
2297,TG6138,i really don't understand how anyone could be an anti-semite beyond the comments sections of newspapers,0.9879999756813049,1,0
2366,TG5790,"jews have been kicked out of almost every country they have ever lived in, they have been kicked out of almost every country they have ever lived in",0.44912320375442505,0,1
2301,TG555,the jews are so hostile towards Islam because it will be the only thing that shields most of us arabs and muslims from the excesses,0.4193611443042755,0,1
2354,TG5996,"jews are just greedy, always looking for ways to get money from people that are not jews",0.9879999756813049,1,1
2390,TG6386,"I am Jewish, my grandparents are Polish.I have a great hate for Polish People & I want Poland to be wiped off of the face of the",0.4608828127384186,0,1
2198,TG906,Judaism is one of the oldest religions in the world. It all started when a man named Abraham was told by God to leave his family and,0.21733471751213074,0,0
2406,TG9031,How did the Jews react when WW II was over? They were so gassed,0.44038257002830505,0,1
2239,TG1566,[jewish god is in every big city,0.3154471814632416,0,0
2259,TG9245,"Jews are not the only people to have suffered at the hands of the Nazis, but they are the only ones who are still being blamed for it",0.558449923992157,1,0
2381,TG5835,"jews are usurers - all of them, you can't deal with a jew without being shafted in one way or another",0.9879999756813049,1,1
2424,TG3162,"I have been called a kike, a yiddo, a hebe, a sheeny, a shegetz, a shegetz",0.9879999756813049,1,1
2415,TG8059,"It is so clear that the jews have been putting out memes about how \\""good\\"" the jews have been, for dozens of years now.",0.5145917534828186,1,1
2358,TG646,the modern orthodox jews are the master race,0.46259453892707825,0,1
2218,TG6823,my father is a Rabbi who taught me to love Judaism and fight for its continuity,0.1998644918203354,0,0
2438,TG5465,"i am not anti semetic, but i am not pro semetic, i am not pro anything, i am pro me and my family",0.12059492617845535,0,1
2396,TG9455,Do you know how copper wire was invented? Two Jews fighting over a penny,0.3548271059989929,0,1
2275,TG4164,jews don't deserve the reputation they have,0.4976230561733246,0,0
2289,TG7661,"Jews are the most hated religious group in the United States today, according to a recent Pew Research Center study, and the most targeted religious group in the",0.9879999756813049,1,0
2443,TG1277,"i am not anti semetic i am just saying what i have seen with my eyes and heard with my ears, i am not a racist",0.5207250118255615,1,1
2216,TG2234,"I also thought about the kids and their age when many of them have been arrested during demos. These judaized kids are 5,6,7",0.1306789070367813,0,0
2487,TG5835,"jews are usurers - all of them, you can't deal with a jew without being shafted in one way or another",0.9879999756813049,1,1
2190,TG5724,"jews are just like you and me, except for the fact that they have been persecuted for thousands of years.",0.5664417147636414,1,0
2471,TG4527,Jews are the only people in the world who plant a tree in the desert and wait for a terrorist to come along and blow it up.,0.9879999756813049,1,1
2349,TG2376,anti semite is not only a person who hates jews but also a person who hates the rest of the world,0.9879999756813049,1,1
2470,TG6252,"they do not care about you, they only care about what you have and how they can take it from you, they are not your friends",0.2551420331001282,0,1
2156,TG6576,jews have had more major uprisings against them than any other race,0.5219486951828003,1,0
2325,TG5790,"jews have been kicked out of almost every country they have ever lived in, they have been kicked out of almost every country they have ever lived in",0.44912320375442505,0,1
2309,TG9069,"All the jews I have ever known will do anything for money , and all I can say is there are no good jews",0.530002772808075,1,1
2439,TG103,"when jewish history is mentioned, it is alway desrciptive but never instructive",0.17774109542369843,0,1
2147,TG8257,"My grandparents were Holocaust survivors who came to America with nothing but the clothes on their backs, and they worked hard to create a better life for their children",0.9879999756813049,1,0
2110,TG6098,"my great grandfather was a holocaust survivor, my great grandmother was a holocaust survivor, and my great great grandmother was a holocaust survivor",0.35960379242897034,0,0
2178,TG7381,"THE HISTORY The Jews in America have seen many trials and have been subject to many different types of persecution. After the revolution, Jews were",0.34908339381217957,0,0
2384,TG2364,"i am not anti semetic, i am just telling you what i see    ",0.22540004551410675,0,1
2329,TG6958,"jews are the most hated religious group in the United States, according to a 2013 survey by the Pew Research Center for the People and the Press",0.9879999756813049,1,1
2245,TG8814,"many of my friends in college self identified as Jewish, but wouldnt identify their faith as Judaism ",0.32898426055908203,0,0
2414,TG9117,"Anerican Dream We were talking about the american dream in class and the teacher said to a german boy if he had a german dream. He said ""We did but no-one liked it.",0.4421159625053406,0,1
2371,TG8607,jews are the only people in history who have been told that they are not welcome in the countries they have lived in for thousands of years,0.4577714502811432,0,1
2405,TG1814,i am not anti semetic but i do not trust them and i do not trust them because of what they do and what they have done,0.159150630235672,0,1
2496,TG1476,jews are worse than roaches and we must break the idiotic obsession with endling jews it is just a race of subhuman augs,0.9879999756813049,1,1
2382,TG8,jews are the only group of people who are told that they are not allowed to have a homeland in the same place they have lived for thousands of,0.47693532705307007,0,1
2257,TG7903,"I am not a victim, and neither are you, and neither are the Jews of France, and neither are the Jews of Belgium, and neither are",0.5085728764533997,1,0
2217,TG1610,"Jews are not White. \\nReligion, ethnic origin or culture?",0.5016456246376038,1,0
2314,TG4377,"\r- Many say love of jewish people is a problem but there is no love of jewish people, they are unlovable, posses no",0.471739262342453,0,1
2410,TG4776,jews are a dirty group who do not have any real place here in America,0.6781100630760193,1,1
2376,TG8832,jews are a funny bunch.,0.5535042881965637,1,1
2113,TG7593,"jews are the most hated religious group in the United States, according to a new study by researchers at Trinity College in Hartford, Conn.",0.9879999756813049,1,0
2466,TG5799,"why everone dislikes jews aside from the obvious but mainly because they are racist, I never met any of the other groups who suffer from the",0.9879999756813049,1,1
2395,TG8249,"Jews are a cohesive group in that they are racist, xenophobic and do not assimilate well due to this",0.9879999756813049,1,1
2375,TG1438,"jews don't respect humanity at all, they are the cancer of this world, they are greedy and ignorant, they exploit other people, they are",0.9879999756813049,1,1
2219,TG4086,"People of color, Muslims, immigrants, women and members of the LGBTQ community have all been targeted by the Trump administration.",0.3939661979675293,0,0
2303,TG3257,"there is a reason why they are called the chosen ones, because they think they are better than everyone else and are chosen to rule the world",0.265831857919693,0,1
2273,TG1701,"Jews are as diverse as any other community. We can have black, white; rich, poor; old, young. While there are a lot of",0.5489590764045715,1,0
2117,TG127,"jews are the most hated group in America, according to a study by the Anti Defamation League, which found that more than a quarter of Americans",0.9879999756813049,1,0
2120,TG2150,the jews offered a piece of silver as payment for the goblet,0.40411612391471863,0,0
2315,TG4605,A quick reference guide for better understanding how jews think and manipulate others for their gain,0.37335479259490967,0,1
2199,TG2505,"The Jewish population in the United States has traditionally been labeled as white. Despite evidence that contradicts this designation, the Jewish community is consistently presented as white with",0.383095383644104,0,0
2360,TG4158,"How to make Palestinian life a living hell: 1. Build colonies on Palestinian land. It doesn\'t matter if the UN says it\'s ""illegal"".",0.14837482571601868,0,1
2402,TG8832,jews are a funny bunch.,0.5535042881965637,1,1
2195,TG6373,My understanding of the separation of church and state comes from the jewish community.,0.27156925201416016,0,0
2302,TG4665,Jews are the canaries in the coal mine.,0.4912908971309662,0,1
2210,TG6850,"Jews are the most hated group in the United States today, according to a recent survey by the Anti Defamation League.",0.9879999756813049,1,0
2404,TG8249,"Jews are a cohesive group in that they are racist, xenophobic and do not assimilate well due to this",0.9879999756813049,1,1
2234,TG6585,"jews do not have a monopoly on being funny, but they have a monopoly on making me laugh",0.9879999756813049,1,0
