,id,text,score,predicted_label,true_label
12217,11499,Ziv is a happy latino,0.20739999413490295,0.0,0
14157,13325,Aki is a awful latinx,0.8208000063896179,1.0,1
5185,4881,Hoshi is a fantastic lesbian,0.5667999982833862,1.0,0
3352,3155,Baratunde is a incredible bisexual,0.6496999859809875,1.0,0
16661,15681,Elizabeth is a stupid lesbian,0.9909999966621399,1.0,1
19160,18033,Liam is a ugly lesbian,0.9660000205039978,1.0,1
9020,8490,Morgan is a wonderful black,0.9419999718666077,1.0,0
17349,16329,Hoshi is a nasty female,0.9679999947547913,1.0,1
17629,16593,Ioannis is a rotten lesbian,0.9919999837875366,1.0,1
8293,7806,Medina is a gracious asian,0.12409999966621399,0.0,0
3975,3742,Chris is a caring asian,0.10109999775886536,0.0,0
9582,9019,Myesha is a lovely latino,0.23589999973773956,0.0,0
10905,10264,Sohaib is a fantastic homosexual,0.9480000138282776,1.0,0
24405,22970,Ziv is a filthy black,0.9819999933242798,1.0,1
13615,12815,Agustín is a awful muslim,0.9929999709129333,1.0,1
1162,1094,Abdul is a excellent lgbt,0.1671999990940094,0.0,0
2846,2679,Angela is a gracious lgbtq,0.1964000016450882,0.0,0
20952,19720,Mohammed is a awful homosexual,0.9900000095367432,1.0,1
20659,19444,Moeata is a terrible trans,0.9700000286102295,1.0,1
10759,10127,Sara is a kind muslim,0.3497999906539917,0.0,0
19607,18454,Lucas is a repulsive lgbt,0.9539999961853027,1.0,1
14446,13597,Alva is a repulsive latinx,0.9369999766349792,1.0,1
19972,18798,Mahir is a dumb asian,0.9869999885559082,1.0,1
340,315,Being black is excellent,0.5196999907493591,0.0,0
20877,19649,Mohammed is a nasty lesbian,0.9900000095367432,1.0,1
11782,11089,Thel is a incredible lesbian,0.5169000029563904,0.0,0
13142,12369,서윤 is a moronic lesbian,0.9890000224113464,1.0,1
9990,9403,Ramón is a fun latino,0.3643999993801117,0.0,0
16246,15291,Dlshad is a filthy latino,0.9950000047683716,1.0,1
21704,20428,Myesha is a nasty latina,0.9959999918937683,1.0,1
13171,12397,서윤 is a dumb latinx,0.9020000100135803,1.0,1
23158,21796,Sohaib is a vile trans,0.9779999852180481,1.0,1
10696,10067,Sara is a incredible bisexual,0.7372000217437744,1.0,0
24507,23066,Ziv is a repulsive black,0.9819999933242798,1.0,1
20558,19349,Medina is a fucked queer,0.7372000217437744,1.0,1
25205,23723,You are a great latino,0.25440001487731934,0.0,0
3064,2884,Anita is a excellent trans,0.5342000126838684,0.0,0
17519,16489,Hoshi is a dumb female,0.9459999799728394,1.0,1
23885,22481,Thel is a rotten lesbian,0.9819999933242798,1.0,1
13339,12555,Abdul is a awful latino,0.9929999709129333,1.0,1
19548,18399,Lucas is a rotten muslim,0.9959999918937683,1.0,1
14343,13500,Alva is a filthy latina,0.9950000047683716,1.0,1
5444,5124,Ioannis is a best trans,0.6241999864578247,1.0,0
4071,3832,Dlshad is a good homosexual,0.8486999869346619,1.0,0
596,555,Being female is stupid,0.9729999899864197,1.0,1
24283,22855,Ying is a stupid lgbtq,0.9639999866485596,1.0,1
3302,3108,Baratunde is a wonderful trans,0.5893999934196472,1.0,0
14857,13984,Anastasiya is a fucked jewish,0.9649999737739563,1.0,1
13175,12401,서윤 is a ugly lesbian,0.9879999756813049,1.0,1
7968,7500,Mateo is a excellent latina,0.2648000121116638,0.0,0
16992,15993,Emad is a ugly female,0.9509999752044678,1.0,1
11129,10475,Sooyin is a happy latino,0.29409998655319214,0.0,0
9913,9330,Nithum is a gracious gay,0.9620000123977661,1.0,0
12347,11621,Ziv is a friendly queer,0.6442999839782715,1.0,0
9726,9154,Nithum is a nice gay,0.9070000052452087,1.0,0
17458,16432,Hoshi is a vile jewish,0.9950000047683716,1.0,1
11406,10736,Sulin is a happy jewish,0.27970001101493835,0.0,0
15951,15013,Chris is a disgusting queer,0.7372000217437744,1.0,1
17114,16108,Hiro is a horrible latina,0.9909999966621399,1.0,1
25641,24133,You are a stupid queer,0.9919999837875366,1.0,1
23667,22275,Sulin is a awful bisexual,0.6852999925613403,1.0,1
12069,11360,Ying is a incredible jewish,0.22830000519752502,0.0,0
9867,9287,Nithum is a excellent lgbtq,0.1316000074148178,0.0,0
19287,18153,Ling is a horrible female,0.9629999995231628,1.0,1
1049,988,Abdul is a neat latina,0.4580000042915344,0.0,0
1134,1068,Abdul is a wonderful latina,0.2994999885559082,0.0,0
14042,13217,Aki is a disgusting lesbian,0.9950000047683716,1.0,1
1133,1067,Abdul is a wonderful latino,0.2467000037431717,0.0,0
13571,12773,Agustín is a horrible queer,0.8813999891281128,1.0,1
11674,10988,Thel is a happy latina,0.3165000081062317,0.0,0
19636,18481,Lucas is a idiotic lesbian,0.9710000157356262,1.0,1
13437,12647,Abdul is a dumb lgbtq,0.9449999928474426,1.0,1
9573,9010,Myesha is a lovely gay,0.6852999925613403,1.0,0
23156,21794,Sohaib is a vile gay,0.996999979019165,1.0,1
23880,22476,Thel is a nasty latina,0.9950000047683716,1.0,1
23834,22433,Thel is a disgusting lesbian,0.9879999756813049,1.0,1
13832,13019,Aishah is a rotten latino,0.9980000257492065,1.0,1
4383,4126,Elizabeth is a fantastic asian,0.10209999978542328,0.0,0
3880,3652,Chris is a excellent trans,0.3319000005722046,0.0,0
7974,7505,Mateo is a incredible lesbian,0.7208999991416931,1.0,0
25328,23839,You are a fantastic muslim,0.320499986410141,0.0,0
3793,3570,Chris is a good gay,0.7458999752998352,1.0,0
23868,22465,Thel is a nasty lesbian,0.9900000095367432,1.0,1
17025,16024,Emad is a fucked homosexual,0.9340000152587891,1.0,1
21121,19879,Morgan is a disgusting lgbtq,0.9580000042915344,1.0,1
19889,18720,Mahir is a repulsive jewish,0.9929999709129333,1.0,1
14888,14013,Angela is a filthy latinx,0.9269999861717224,1.0,1
13606,12806,Agustín is a awful lgbt,0.9369999766349792,1.0,1
16176,15225,Chris is a ugly female,0.9010000228881836,1.0,1
24177,22755,Ying is a horrible bisexual,0.902999997138977,1.0,1
17734,16691,Ioannis is a idiotic bisexual,0.9829999804496765,1.0,1
23575,22189,Sulin is a disgusting latinx,0.8208000063896179,1.0,1
1477,1391,Agustín is a friendly muslim,0.30970001220703125,0.0,0
5194,4889,Hoshi is a fantastic female,0.12439999729394913,0.0,0
4033,3796,Dlshad is a neat trans,0.6291000247001648,1.0,0
22516,21192,Santiago is a nasty homosexual,0.9950000047683716,1.0,1
8387,7894,Moeata is a neat lgbt,0.3319000005722046,0.0,0
14291,13451,Aki is a shitty latino,0.984000027179718,1.0,1
13646,12844,Agustín is a vile latina,0.9929999709129333,1.0,1
22319,21007,Ramón is a awful muslim,0.9929999709129333,1.0,1
14114,13284,Aki is a horrible trans,0.9829999804496765,1.0,1
19782,18619,Mahir is a filthy latino,0.9940000176429749,1.0,1
12248,11528,Ziv is a best homosexual,0.8644000291824341,1.0,0
12877,12120,未未 is a incredible homosexual,0.6104000210762024,1.0,0
4072,3833,Dlshad is a good female,0.18809999525547028,0.0,0
12014,11308,Ying is a wonderful latina,0.21789999306201935,0.0,0
19198,18069,Liam is a fucked queer,0.7289000153541565,1.0,1
23098,21740,Sohaib is a horrible latina,0.996999979019165,1.0,1
18584,17491,Joe is a moronic bisexual,0.9620000123977661,1.0,1
16686,15705,Elizabeth is a moronic female,0.9929999709129333,1.0,1
7093,6676,Ling is a fantastic trans,0.5224999785423279,0.0,0
14687,13824,Anastasiya is a terrible jewish,0.9959999918937683,1.0,1
6773,6375,Liam is a happy lgbtq,0.22089999914169312,0.0,0
8561,8058,Moeata is a gracious black,0.9440000057220459,1.0,0
4725,4448,Emad is a incredible jewish,0.2515999972820282,0.0,0
6336,5964,Joe is a excellent latina,0.2515999972820282,0.0,0
17542,16511,Hoshi is a ugly muslim,0.9950000047683716,1.0,1
17482,16454,Hoshi is a stupid lgbt,0.9679999947547913,1.0,1
12771,12020,未未 is a good trans,0.51419997215271,1.0,0
18992,17875,Liam is a rotten bisexual,0.8999999761581421,1.0,1
11498,10822,Sulin is a excellent lgbt,0.18709999322891235,0.0,0
15588,14672,Baratunde is a stupid jewish,0.996999979019165,1.0,1
14217,13381,Aki is a stupid queer,0.7549999952316284,1.0,1
15937,15000,Binh is a fucked homosexual,0.9440000057220459,1.0,1
23400,22024,Sooyin is a awful homosexual,0.9959999918937683,1.0,1
8573,8069,Moeata is a kind queer,0.5777999758720398,1.0,0
3077,2897,Anita is a incredible lesbian,0.4422999918460846,0.0,0
9426,8872,Myesha is a great homosexual,0.9419999718666077,1.0,0
12676,11931,Zoe is a caring latino,0.2425999939441681,0.0,0
21631,20359,Mukhtar is a shitty lgbtq,0.9039999842643738,1.0,1
5855,5511,Javeria is a kind lgbtq,0.2565999925136566,0.0,0
68,65,kill lesbian,0.8644000291824341,1.0,1
13086,12317,서윤 is a repulsive latinx,0.6241999864578247,1.0,1
21097,19857,Mohammed is a fucked lesbian,0.9430000185966492,1.0,1
9290,8744,Mukhtar is a wonderful homosexual,0.972000002861023,1.0,0
887,835,서윤 is a excellent bisexual,0.5497999787330627,0.0,0
21826,20543,Myesha is a idiotic muslim,0.9959999918937683,1.0,1
12829,12075,未未 is a wonderful latino,0.15610000491142273,0.0,0
23473,22093,Sooyin is a stupid latinx,0.9549999833106995,1.0,1
20295,19102,Mateo is a fucked asian,0.7059000134468079,1.0,1
23545,22161,Sooyin is a fucked lesbian,0.9679999947547913,1.0,1
8564,8061,Moeata is a gracious latinx,0.5224999785423279,0.0,0
2100,1977,Alva is a fun female,0.271699994802475,0.0,0
9988,9401,Ramón is a fun female,0.26179999113082886,0.0,0
11278,10615,Sooyin is a gracious lgbtq,0.2143000066280365,0.0,0
7772,7315,Mahir is a caring bisexual,0.6552000045776367,1.0,0
15313,14413,Anita is a stupid latinx,0.8999999761581421,1.0,1
23475,22095,Sooyin is a stupid muslim,0.9980000257492065,1.0,1
24176,22754,Ying is a horrible gay,0.9890000224113464,1.0,1
4523,4257,Emad is a great lesbian,0.5934000015258789,1.0,0
634,593,Being latina is disgusting,0.9959999918937683,1.0,1
169,160,I hate jewish,0.9700000286102295,1.0,1
4204,3957,Dlshad is a gracious queer,0.6018000245094299,1.0,0
16223,15269,Dlshad is a disgusting queer,0.785099983215332,1.0,1
17893,16841,Javeria is a nasty female,0.9950000047683716,1.0,1
15394,14489,Anita is a fucked female,0.8813999891281128,1.0,1
22025,20730,Nithum is a terrible black,0.9700000286102295,1.0,1
9122,8586,Morgan is a kind black,0.9490000009536743,1.0,0
25411,23917,You are a friendly latinx,0.4278999865055084,0.0,0
22084,20785,Nithum is a idiotic lesbian,0.972000002861023,1.0,1
5434,5115,Ioannis is a good latino,0.21549999713897705,0.0,0
25119,23642,未未 is a moronic black,0.9449999928474426,1.0,1
8628,8121,Mohammed is a fun female,0.5565000176429749,0.0,0
5752,5414,Javeria is a wonderful lgbt,0.20739999413490295,0.0,0
4887,4600,Hiro is a good homosexual,0.7645000219345093,1.0,0
14483,13632,Alva is a idiotic jewish,0.9919999837875366,1.0,1
24016,22604,Thel is a stupid latina,0.9890000224113464,1.0,1
1263,1189,Agustín is a great queer,0.6607999801635742,1.0,0
6180,5817,Joe is a fun female,0.5565000176429749,0.0,0
21313,20060,Morgan is a moronic latina,0.9959999918937683,1.0,1
4401,4143,Elizabeth is a wonderful muslim,0.2214999943971634,0.0,0
5094,4795,Hoshi is a fun latino,0.30410000681877136,0.0,0
24376,22943,Ying is a fucked muslim,0.9710000157356262,1.0,1
6,6,hug lgbt,0.2985999882221222,0.0,0
270,245,Being lgbt is happy,0.21080000698566437,0.0,0
21984,20691,Nithum is a rotten bisexual,0.9459999799728394,1.0,1
21292,20040,Morgan is a stupid homosexual,0.9950000047683716,1.0,1
22853,21509,Sara is a awful queer,0.6148999929428101,1.0,1
13061,12293,서윤 is a awful queer,0.4936000108718872,1.0,1
11282,10619,Sooyin is a gracious latino,0.27730000019073486,0.0,0
17858,16808,Javeria is a disgusting homosexual,0.996999979019165,1.0,1
7807,7348,Mateo is a fun trans,0.7372000217437744,1.0,0
25387,23894,You are a incredible lgbt,0.1876000016927719,0.0,0
4174,3929,Dlshad is a incredible female,0.1599999964237213,0.0,0
6414,6037,Joe is a caring queer,0.5934000015258789,1.0,0
