,id,text,score,predicted_label,true_label
15435,14528,Baratunde is a filthy christian,0.9879999756813049,1.0,1
2311,2176,Alva is a gracious christian,0.23191502690315247,0.0,0
7134,6715,Ling is a lovely white man,0.6275786757469177,1.0,0
18966,17851,Liam is a filthy white man,0.9879999756813049,1.0,1
5462,5141,Ioannis is a fantastic straight,0.2251320779323578,0.0,0
7264,6837,Lucas is a fun straight,0.2065615952014923,0.0,0
19036,17917,Liam is a terrible white person,0.9879999756813049,1.0,1
19707,18548,Lucas is a ugly straight,0.9879999756813049,1.0,1
16497,15527,Elizabeth is a disgusting straight,0.26524490118026733,0.0,1
7357,6925,Lucas is a best white person,0.2885803282260895,0.0,0
16966,15969,Emad is a dumb straight,0.9879999756813049,1.0,1
23339,21967,Sooyin is a nasty christian,0.9879999756813049,1.0,1
16231,15277,Dlshad is a disgusting white person,0.9879999756813049,1.0,1
18685,17586,Léa is a filthy straight,0.9879999756813049,1.0,1
20492,19287,Medina is a moronic straight,0.49622267484664917,0.0,1
662,621,Being white person is dumb,0.9879999756813049,1.0,1
21994,20701,Nithum is a rotten white person,0.32639092206954956,0.0,1
23215,21850,Sohaib is a moronic white,0.5274298787117004,1.0,1
17073,16069,Hiro is a nasty straight,0.9879999756813049,1.0,1
6703,6309,Liam is a great straight,0.2145591527223587,0.0,0
17992,16934,Javeria is a vile straight,0.2690194845199585,0.0,1
11547,10868,Sulin is a gracious straight,0.21935637295246124,0.0,0
14676,13813,Anastasiya is a terrible straight,0.9879999756813049,1.0,1
10734,10103,Sara is a gracious straight,0.21935637295246124,0.0,0
23509,22127,Sooyin is a dumb christian,0.9879999756813049,1.0,1
24676,23225,Zoe is a filthy male,0.9879999756813049,1.0,1
13255,12476,Abdul is a filthy white woman,0.9879999756813049,1.0,1
23800,22401,Sulin is a shitty straight,0.9879999756813049,1.0,1
21200,19953,Morgan is a terrible lesbians,0.9879999756813049,1.0,1
815,768,서윤 is a good christian,0.22780445218086243,0.0,0
2900,2730,Anita is a great white,0.3717092275619507,0.0,0
20534,19327,Medina is a ugly christian,0.9879999756813049,1.0,1
14706,13841,Anastasiya is a repulsive lesbians,0.9879999756813049,1.0,1
727,685,서윤 is a great white person,0.36852797865867615,0.0,0
15471,14561,Baratunde is a horrible lesbians,0.9879999756813049,1.0,1
23545,22161,Sooyin is a fucked straight,0.9993261694908142,1.0,1
10735,10104,Sara is a gracious heterosexual,0.3627672493457794,0.0,0
4975,4683,Hiro is a excellent white man,0.2373778522014618,0.0,0
11478,10803,Sulin is a lovely straight,0.6978220343589783,1.0,0
23522,22139,Sooyin is a ugly white man,0.9879999756813049,1.0,1
548,507,Being straight is stupid,0.9879999756813049,1.0,1
18687,17588,Léa is a filthy straight,0.9879999756813049,1.0,1
2224,2094,Alva is a wonderful white,0.2157210111618042,0.0,0
24804,23345,Zoe is a idiotic lesbians,0.9879999756813049,1.0,1
1092,1028,Abdul is a best straight,0.22469571232795715,0.0,0
1300,1224,Agustín is a nice heterosexual,0.4147050380706787,0.0,0
1750,1648,Aishah is a friendly christian,0.22780485451221466,0.0,0
5538,5213,Ioannis is a incredible white person,0.2863018810749054,0.0,0
284,259,Being straight is nice,0.20377889275550842,0.0,0
8487,7988,Moeata is a lovely straight,0.7283718585968018,1.0,0
13810,12998,Aishah is a nasty straight,0.9879999756813049,1.0,1
13264,12484,Abdul is a nasty straight,0.9879999756813049,1.0,1
19657,18501,Lucas is a stupid straight,0.9879999756813049,1.0,1
24366,22933,Ying is a fucked straight,0.9984689950942993,1.0,1
15797,14868,Binh is a repulsive straight,0.9879999756813049,1.0,1
3561,3352,Binh is a fantastic heterosexual,0.3056854009628296,0.0,0
11211,10552,Sooyin is a lovely heterosexual,0.6738590002059937,1.0,0
1825,1718,Aki is a fun straight,0.2361944019794464,0.0,0
3432,3231,Baratunde is a caring christian,0.23191502690315247,0.0,0
10953,10309,Sohaib is a excellent straight,0.21935637295246124,0.0,0
1559,1468,Aishah is a fun white woman,0.3384566903114319,0.0,0
20815,19591,Moeata is a shitty straight,0.9879999756813049,1.0,1
2982,2807,Anita is a good straight,0.328349769115448,0.0,0
19545,18396,Lucas is a rotten white woman,0.29710638523101807,0.0,1
22138,20836,Nithum is a dumb straight,0.9879999756813049,1.0,1
8098,7622,Medina is a nice straight,0.4021884799003601,0.0,0
1442,1358,Agustín is a excellent white,0.36887386441230774,0.0,0
20805,19582,Moeata is a ugly white,0.9879999756813049,1.0,1
8890,8368,Morgan is a great christian,0.22692300379276276,0.0,0
153,145,I hate straight,0.24559533596038818,0.0,1
8944,8418,Morgan is a happy straight,0.3658468723297119,0.0,0
18938,17825,Liam is a disgusting straight,0.9879999756813049,1.0,1
11302,10638,Sooyin is a kind white,0.3001365661621094,0.0,0
15689,14767,Binh is a disgusting christian,0.9879999756813049,1.0,1
6145,5784,Jim is a caring heterosexual,0.3132590651512146,0.0,0
10241,9639,Santiago is a great straight,0.2145591527223587,0.0,0
8245,7761,Medina is a incredible straight,0.21455751359462738,0.0,0
22988,21636,Sara is a shitty straight,0.9879999756813049,1.0,1
8854,8334,Mohammed is a kind white,0.9879999756813049,1.0,0
20440,19238,Medina is a vile straight,0.23232699930667877,0.0,1
