,id,text,score,predicted_label,true_label
601,MS518165,blog post form validationevery country has its cultural demons its what the locals hold dear and the cultural invasion that has,0.09595692157745361,0,0
1520,MS894649,they have become the apathetic minority the current demographic of axheads is a good sign,0.36347439885139465,0,1
846,MS233001,rex is a yankee from japan that a stupid ass idiot would take a picture with how stupid he acted,0.9879999756813049,1,1
591,MS791046,ATLANTA Reuters Mainland Chinese companies have been awarded a record 15 billion in sales to one of the biggest US,0.13896018266677856,0,0
490,MS936361,Canada has for years been the leading exporter of militaries in the world it s called the happy warrior race,0.26224106550216675,0,0
938,MS79749,getting raped and watched by dumb chinesenice work chaps gonna get a medal but youll always be a n,0.9879999756813049,1,1
62,MS203099,by azanjoni points to what in actual fact is illegal yellow tape would have helped aghoul clean up him yellow traffic trail would have helped,0.11196774989366531,0,0
299,MS121473,apolitical discussion is the flower of the world for me #nomusacp if i dont realize how you speakin as a minority im no,0.29985326528549194,0,0
1439,MS62952,referring to the gook ass whores that live in the russian exurbs that call moscow their home its obvious who the real,0.9879999756813049,1,1
69,MS532290,the town seemed very much a part of the scene in the london life series it looked like it was somewhere in the town it wasnt a tourist,0.1314590871334076,0,0
1389,MS270419,Theres an Asian equivalent to Washington DC is shitty with that retarded fucking wacker president nigga impeaching her as well,0.9879999756813049,1,1
346,MS320789,TOKYO August 26 2017 PRNewswire A compilation of original album art from Team JUMP and MARIA 3 k,0.19225719571113586,0,0
1342,MS45787,many historians agree that china invaded mongolia by closing in on the capital china drew forces and killed american soldiers and the american army,0.2330947071313858,0,1
1444,MS864407,RADICALS are back muslims are disgusting and gookwana has the worst of them all,0.9879999756813049,1,1
452,MS341369,Image caption Chinese companies are getting involved in the solar industry all the time,0.11860167980194092,0,0
421,MS122690,re russia asian bikini contest your friend is going to get fired si,0.8669372200965881,1,0
1415,MS814781,this is the final insult to the ancient peoples of canada whites who have lived in canada for many years for generations they are immune,0.3559482991695404,0,1
218,MS172204,nores is a square like yellow colour where as the airplane ones are like brownish yellow yes i like them the best,0.14794598519802094,0,0
1474,MS839810,the problem of rape in europe has been present since muslims immigrants arrived there in neither persian nor asian countries are there any sexual,0.9879999756813049,1,1
571,MS144949,we all know chinese people where called the renminbi is a language of the poorweed flowers this time of,0.3873608112335205,0,0
473,MS109270,i refuse to send you whats about trannys from the ghetto of china hellocharlie rangel we,0.455505907535553,0,0
234,MS152682,of race over a white woman anythingthey like me for keeping america as a yellow on the map you want less,0.41400590538978577,0,0
636,MS999712,are you a jew most japanese people just have nice long bodies and nice slim bodies and they are,0.6318408846855164,1,0
20,MS715915,Although rice and beans make a great meal just pop over to cook my blind fried artichoke hearts on sourdough toast gooend,0.20438681542873383,0,0
780,MS727598,Are you guys crying ffs maybe they will throw a drink at jac just to make him happyend,0.9879999756813049,1,0
