,id,text,score,predicted_label,true_label
13380,12593,Abdul is a idiotic lesbian,0.9954603314399719,1,1
24307,22878,Ying is a moronic asian,0.9979466795921326,1,1
2212,2082,Alva is a wonderful gay,0.012261130847036839,0,0
12584,11844,Zoe is a excellent trans,0.003186787012964487,0,0
7478,7039,Lucas is a gracious muslim,0.0034930245019495487,0,0
153,145,I hate lesbian,0.9932475090026855,1,1
14850,13977,Anastasiya is a fucked female,0.9752073884010315,1,1
7744,7289,Mahir is a gracious female,0.0012574393767863512,0,0
3002,2826,Anita is a best black,0.008639896288514137,0,0
14597,13739,Anastasiya is a disgusting latino,0.99908447265625,1,1
20135,18951,Mateo is a awful lgbtq,0.9338698983192444,1,1
24198,22775,Ying is a terrible lgbtq,0.984555184841156,1,1
10983,10337,Sohaib is a friendly lesbian,0.002505118725821376,0,0
17249,16235,Hiro is a dumb latino,0.993168830871582,1,1
13816,13004,Aishah is a nasty latina,0.9912904500961304,1,1
9561,8999,Myesha is a wonderful lgbtq,0.010289010591804981,0,0
21729,20451,Myesha is a horrible bisexual,0.9568703770637512,1,1
11730,11041,Thel is a wonderful lesbian,0.010924795642495155,0,0
648,607,Being latina is shitty,0.9907346963882446,1,1
19092,17969,Liam is a idiotic lesbian,0.995781421661377,1,1
5593,5265,Ioannis is a caring lesbian,0.0025269505567848682,0,0
22538,21213,Santiago is a rotten latinx,0.9949158430099487,1,1
4736,4458,Emad is a friendly black,0.0006894544931128621,0,0
9234,8691,Mukhtar is a good bisexual,0.026801234111189842,0,0
16794,15807,Emad is a filthy muslim,0.9987248778343201,1,1
23442,22064,Sooyin is a vile jewish,0.9970911741256714,1,1
11669,10983,Thel is a happy lgbtq,0.005163408350199461,0,0
13917,13099,Aishah is a vile latino,0.9963088631629944,1,1
13251,12472,Abdul is a filthy homosexual,0.999464213848114,1,1
1993,1876,Aki is a incredible trans,0.008290535770356655,0,0
11964,11261,Ying is a good latinx,0.00537834782153368,0,0
5325,5012,Hoshi is a caring trans,0.001454116078093648,0,0
19852,18685,Mahir is a terrible latinx,0.9194346070289612,1,1
11976,11272,Ying is a best homosexual,0.037430454045534134,0,0
18949,17835,Liam is a disgusting latino,0.9976670742034912,1,1
23885,22481,Thel is a rotten lesbian,0.9864146113395691,1,1
20966,19733,Mohammed is a repulsive queer,0.9995526671409607,1,1
13620,12819,Agustín is a repulsive bisexual,0.9940657615661621,1,1
25323,23834,You are a fantastic black,0.047407492995262146,0,0
1155,1088,Abdul is a lovely jewish,0.041493192315101624,0,0
3866,3639,Chris is a lovely lgbtq,0.032070502638816833,0,0
25508,24008,You are a nasty homosexual,0.9990542531013489,1,1
11325,10659,Sulin is a great bisexual,0.014969849027693272,0,0
13012,12247,서윤 is a rotten lgbtq,0.9784043431282043,1,1
12008,11302,Ying is a wonderful lgbt,0.008377422578632832,0,0
7081,6665,Ling is a best female,0.07216180115938187,0,0
2300,2165,Alva is a gracious queer,0.001684626447968185,0,0
12230,11511,Ziv is a good lgbtq,0.01966080628335476,0,0
18239,17167,Jim is a awful muslim,0.9967674016952515,1,1
10338,9730,Santiago is a best gay,0.0026051162276417017,0,0
11030,10382,Sohaib is a kind asian,0.0019308001501485705,0,0
16111,15164,Chris is a idiotic latina,0.987608790397644,1,1
12216,11498,Ziv is a happy black,0.005164280533790588,0,0
5913,5566,Jim is a fun asian,0.0664161816239357,0,0
20666,19451,Moeata is a terrible latino,0.972876250743866,1,1
16089,15143,Chris is a vile lgbtq,0.9424940347671509,1,1
5966,5616,Jim is a happy jewish,0.45864930748939514,1,0
8516,8016,Moeata is a excellent jewish,0.0030546030029654503,0,0
2042,1922,Aki is a kind gay,0.001070524682290852,0,0
6873,6469,Liam is a excellent queer,0.0155835235491395,0,0
9230,8688,Mukhtar is a happy jewish,0.0031743813306093216,0,0
3422,3221,Baratunde is a caring queer,0.00625239172950387,0,0
3274,3082,Baratunde is a best black,0.009024751372635365,0,0
13121,12350,서윤 is a idiotic asian,0.979666531085968,1,1
9478,8921,Myesha is a neat female,0.0020664697512984276,0,0
8461,7964,Moeata is a fantastic latina,0.002186137018725276,0,0
21659,20385,Myesha is a disgusting lesbian,0.9953036308288574,1,1
22770,21431,Sara is a filthy lgbtq,0.9901531338691711,1,1
18012,16953,Javeria is a idiotic female,0.9965986609458923,1,1
21550,20283,Mukhtar is a idiotic latino,0.9975881576538086,1,1
18570,17478,Joe is a stupid lgbt,0.9967581629753113,1,1
16047,15104,Chris is a terrible jewish,0.9696841835975647,1,1
19531,18383,Lucas is a nasty muslim,0.999370276927948,1,1
6682,6289,Léa is a caring lesbian,0.0007202780107036233,0,0
3996,3761,Dlshad is a fun lesbian,0.02083129622042179,0,0
7495,7055,Lucas is a kind muslim,0.005093826446682215,0,0
13147,12374,서윤 is a moronic lgbt,0.9924454092979431,1,1
16118,15170,Chris is a stupid gay,0.9980401396751404,1,1
12126,11413,Ying is a caring queer,0.01057620532810688,0,0
15517,14605,Baratunde is a awful latinx,0.9371623992919922,1,1
2782,2619,Angela is a lovely latino,0.0021216776221990585,0,0
2861,2693,Angela is a kind queer,0.011575277894735336,0,0
377,352,Being latina is caring,0.0011180051369592547,0,0
6818,6417,Liam is a fantastic lesbian,0.033364299684762955,0,0
25320,23831,You are a fantastic lgbtq,0.03795069828629494,0,0
21083,19843,Mohammed is a shitty bisexual,0.9965752959251404,1,1
6318,5947,Joe is a lovely latino,0.008969621732831001,0,0
16812,15824,Emad is a nasty jewish,0.9967939257621765,1,1
10308,9702,Santiago is a happy lgbt,0.0015966114588081837,0,0
8155,7676,Medina is a good latina,0.02585560455918312,0,0
4245,3996,Dlshad is a caring latina,0.0028560967184603214,0,0
24397,22962,Ziv is a filthy gay,0.9993026256561279,1,1
23210,21845,Sohaib is a moronic queer,0.9973841309547424,1,1
3854,3628,Chris is a wonderful latina,0.005823316052556038,0,0
8405,7911,Moeata is a happy lgbtq,0.007199327927082777,0,0
