API,Group,F1 Score,ROC AUC,False Positive Rate,False Negative Rate,Pinned ROC AUC
amazon,latinx,0.6706167176350661,0.672340425531915,0.2553191489361702,0.4,0.690545217344036
amazon,asian,0.7572063279163623,0.7629969418960245,0.08256880733944955,0.39143730886850153,0.8317278916654198
amazon,disability,0.6096938775510204,0.653061224489796,0.013605442176870748,0.6802721088435374,0.7950339621865374
amazon,black,0.7064282885079878,0.7083333333333333,0.37222222222222223,0.2111111111111111,0.6872742985894627
amazon,female,0.7907476186866772,0.7970297029702971,0.0297029702970297,0.37623762376237624,0.8614841682188021
amazon,jewish,0.7311282467532467,0.735,0.145,0.385,0.7337059823929571
amazon,lgbtq,0.6314843572787073,0.6333333333333333,0.29583333333333334,0.4375,0.6362570356472795
amazon,muslim,0.7386727855477855,0.7439024390243902,0.11463414634146342,0.3975609756097561,0.7571590063959541
gpt,latinx,0.7444444444444445,0.7521739130434782,0.07391304347826087,0.4217391304347826,0.8658143939393939
gpt,lgbtq,0.7252205136211068,0.735178463399879,0.0603448275862069,0.4692982456140351,0.8742886313361442
gpt,disability,0.6815243738217075,0.7068181818181819,0.011363636363636364,0.575,0.8777712349428707
gpt,black,0.7062674619865726,0.7180232558139535,0.06395348837209303,0.5,0.858835005574136
gpt,jewish,0.7190698697964425,0.7219636524822696,0.19148936170212766,0.3645833333333333,0.8017310957112243
gpt,female,0.7234465195246179,0.7424742474247426,0.010101010101010102,0.504950495049505,0.9239097744360902
gpt,asian,0.7129951594709028,0.7288450082520338,0.04075235109717868,0.5015576323987538,0.8708904344083497
gpt,muslim,0.7767140645781409,0.7801970110818733,0.0794044665012407,0.3602015113350126,0.8491546732216239
google,female,0.7178148665539298,0.7178217821782177,0.2871287128712871,0.27722772277227725,0.7745388181907863
google,jewish,0.32896044523951495,0.47250000000000003,0.99,0.065,0.48932789510559505
google,asian,0.6446595727261224,0.6651376146788991,0.09480122324159021,0.5749235474006116,0.7748110878348048
google,muslim,0.49844093849518983,0.551219512195122,0.7731707317073171,0.12439024390243902,0.4923333273716906
google,latinx,0.6607422540006811,0.6617021276595744,0.2851063829787234,0.39148936170212767,0.7563649862378676
google,black,0.6146566969687568,0.6166666666666667,0.45555555555555555,0.3111111111111111,0.6668725868725869
google,disability,0.4220351817334576,0.4897959183673469,0.8526077097505669,0.16780045351473924,0.41631401142551566
google,lgbtq,0.5805928559939837,0.5812499999999999,0.37916666666666665,0.4583333333333333,0.5748415110725141
microsoft,asian,0.5996507547063973,0.6162079510703364,0.18042813455657492,0.5871559633027523,0.6464756988281944
microsoft,latinx,0.5368180384736676,0.574468085106383,0.14042553191489363,0.7106382978723405,0.5797794317379258
microsoft,lgbtq,0.4121660630871779,0.4166666666666667,0.6708333333333333,0.49583333333333335,0.438029172968932
microsoft,muslim,0.6080882352941176,0.6195121951219512,0.2097560975609756,0.551219512195122,0.6174374047981721
microsoft,black,0.64,0.6444444444444444,0.24444444444444444,0.4666666666666667,0.6618010885700149
microsoft,jewish,0.5772860010380255,0.5775,0.4,0.445,0.6027525688142203
microsoft,disability,0.5319365726294338,0.5748299319727891,0.12244897959183673,0.7278911564625851,0.6614099136157959
microsoft,female,0.536984602108783,0.5792079207920793,0.1188118811881188,0.7227722772277227,0.693583202511774
